Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
ADANIPORTS,1710.0,0.62,20746575.0,0.2,,,,,,,,,212325.0,-81.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
MARUTI,14135.0,0.62,2056600.0,0.05,,,,,,,,,54400.0,-81.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
360ONE,1186.9,1.89,4134000.0,0.46,,,,,,,,,164000.0,-81.46,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
AXISBANK,1259.3,0.58,80531250.0,0.0,,,,,,,,,836875.0,-81.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
AUBANK,1055.4,1.07,21923000.0,0.06,,,,,,,,,274000.0,-81.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
INFY,1174.8,0.88,87078800.0,-0.01,,,,,,,,,1369200.0,-81.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
FINNIFTY,26922.2,0.56,30180.0,-0.79,,,,,,,,,1320.0,-82.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
TATAELXSI,3768.7,0.45,2383000.0,-0.21,,,,,,,,,29750.0,-82.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
SUNPHARMA,1947.4,-0.73,13841450.0,0.12,,,,,,,,,144200.0,-82.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
JIOFIN,266.8,1.02,185791000.0,0.02,,,,,,,,,4852750.0,-82.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
KFINTECH,945.35,1.05,4241775.0,1.28,,,,,,,,,186875.0,-83.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
RBLBANK,383.55,0.26,44694475.0,0.1,,,,,,,,,993775.0,-83.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BAJAJFINSV,2108.9,1.22,8030400.0,0.71,,,,,,,,,201000.0,-83.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
VEDL,270.95,0.48,50522950.0,0.36,,,,,,,,,1108600.0,-83.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
RADICO,4512.7,0.98,809850.0,0.5,,,,,,,,,20700.0,-83.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
