Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
ABCAPITAL,425.1,1.58,37317800.0,0.41,,,,,,,,,1618200.0,-66.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
INDUSINDBK,1035.0,1.37,33537000.0,-0.09,,,,,,,,,332500.0,-73.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
HINDZINC,571.3,1.29,29538425.0,0.72,,,,,,,,,1313200.0,-72.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
TIINDIA,2809.7,2.22,2243200.0,-0.64,,,,,,,,,57600.0,-78.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
FORCEMOT,18631.0,1.04,248450.0,-0.46,,,,,,,,,10225.0,-76.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
BAJFINANCE,1157.5,1.1,54054000.0,0.41,,,,,,,,,1264500.0,-75.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
BPCL,327.05,1.63,39693550.0,0.28,,,,,,,,,1200800.0,-76.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
GODREJPROP,2117.9,3.89,7855575.0,-0.24,,,,,,,,,713050.0,-74.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
POLYCAB,9314.0,1.15,2270500.0,-0.14,,,,,,,,,93375.0,-78.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
DLF,663.25,2.2,46981300.0,0.5,,,,,,,,,2036800.0,-77.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
TRENT,3136.4,1.8,10532700.0,-0.06,,,,,,,,,168750.0,-78.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
NTPC,347.75,1.1,98404500.0,-0.09,,,,,,,,,933000.0,-74.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
PRESTIGE,1627.3,2.03,5148000.0,-0.06,,,,,,,,,102150.0,-84.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
PIDILITIND,1651.7,2.2,7937500.0,-0.59,,,,,,,,,896000.0,-83.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
BAJAJFINSV,2108.9,1.22,8030400.0,0.71,,,,,,,,,201000.0,-83.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
KFINTECH,945.35,1.05,4241775.0,1.28,,,,,,,,,186875.0,-83.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
JIOFIN,266.8,1.02,185791000.0,0.02,,,,,,,,,4852750.0,-82.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
ICICIPRULI,514.7,1.14,17940375.0,0.57,,,,,,,,,365375.0,-89.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
PERSISTENT,5560.0,1.05,3553250.0,-0.05,,,,,,,,,44375.0,-89.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
SONACOMS,794.0,1.09,10847375.0,0.22,,,,,,,,,197225.0,-90.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
EICHERMOT,7991.5,1.06,3713500.0,0.3,,,,,,,,,46800.0,-86.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
HDFCLIFE,544.3,1.61,47206500.0,-0.02,,,,,,,,,1179200.0,-89.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
POWERINDIA,32625.0,1.01,587825.0,-0.04,,,,,,,,,10375.0,-86.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
HEROMOTOCO,5638.0,1.06,4726050.0,0.55,,,,,,,,,152700.0,-87.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
NAM-INDIA,1188.5,1.03,7396250.0,0.76,,,,,,,,,146250.0,-89.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
MFSL,1532.9,1.77,9438400.0,0.05,,,,,,,,,100400.0,-92.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
NESTLEIND,1505.4,1.1,7970000.0,1.8,,,,,,,,,449500.0,-91.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
CROMPTON,269.3,1.13,60094650.0,0.07,,,,,,,,,277350.0,-96.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
AMBER,7485.0,1.21,1228300.0,-0.68,,,,,,,,,23400.0,-92.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
HDFCAMC,2583.2,1.26,6353700.0,-0.04,,,,,,,,,81300.0,-91.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
GODREJCP,1073.0,1.4,11210000.0,0.21,,,,,,,,,98000.0,-91.62,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
GRASIM,3167.0,1.02,11900500.0,0.06,,,,,,,,,58750.0,-91.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
BLUESTARCO,1698.3,1.76,3446300.0,0.37,,,,,,,,,98475.0,-91.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
MOTHERSON,153.75,2.05,127575600.0,0.38,,,,,,,,,3579300.0,-85.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
CUMMINSIND,5576.5,1.2,4071400.0,0.16,,,,,,,,,128000.0,-85.59,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
UNOMINDA,1275.0,3.44,4679400.0,0.35,,,,,,,,,344850.0,-86.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
IEX,131.35,1.16,72884250.0,0.06,,,,,,,,,913500.0,-87.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
BHARTIARTL,1966.8,0.13,55092875.0,1.08,,,,,,,,,3340200.0,71.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,15,SELL,Volume Expansion
NYKAA,332.95,-1.48,50496875.0,9.88,,,,,,,,,12753125.0,69.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,15,SELL,Negative Price Momentum; Fresh OI Buildup; Volume Expansion
LICI,398.2,2.02,64290800.0,-2.93,,,,,,,,,3927000.0,-95.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,10,SELL,Positive Price Momentum; OI Reduction
ANGELONE,299.15,-0.4,28530000.0,1.55,,,,,,,,,1252500.0,-73.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
PNB,114.95,0.82,288592000.0,0.07,,,,,,,,,6336000.0,-43.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
OIL,441.0,-2.18,15932000.0,0.9,,,,,,,,,665000.0,-23.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,Negative Price Momentum
SBIN,1050.7,0.96,82684500.0,0.31,,,,,,,,,1815000.0,-73.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
