Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID,Intraday Probability %,Confidence,Final Bias
NIFTYNXT50,74454.0,0.1,19625.0,0.77,,,,,,,,,650.0,-62.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.1|OI:0.77|VOL:-62.32|FUT:nan,PDNA_33271F52,60,MEDIUM,NEUTRAL
HDFCAMC,2551.6,0.09,6634500.0,0.04,,,,,,,,,34500.0,-89.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.09|OI:0.04|VOL:-89.34|FUT:nan,PDNA_3E2BF524,60,MEDIUM,NEUTRAL
SBIN,1090.7,0.07,81819000.0,0.67,,,,,,,,,2565750.0,-88.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.07|OI:0.67|VOL:-88.97|FUT:nan,PDNA_83E1522F,60,MEDIUM,NEUTRAL
360ONE,1187.0,0.32,4189000.0,1.37,,,,,,,,,130000.0,-88.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.32|OI:1.37|VOL:-88.05|FUT:nan,PDNA_6AD88CE7,60,MEDIUM,NEUTRAL
LAURUSLABS,1838.6,0.49,16595400.0,0.09,,,,,,,,,226100.0,-87.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.49|OI:0.09|VOL:-87.68|FUT:nan,PDNA_A4EFB8DD,60,MEDIUM,NEUTRAL
APOLLOHOSP,8969.5,0.04,1982000.0,0.04,,,,,,,,,15750.0,-93.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.04|OI:0.04|VOL:-93.93|FUT:nan,PDNA_9F1AF44D,60,MEDIUM,NEUTRAL
IREDA,117.84,0.05,79988425.0,0.16,,,,,,,,,475125.0,-94.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.05|OI:0.16|VOL:-94.02|FUT:nan,PDNA_EECBD55C,60,MEDIUM,NEUTRAL
COALINDIA,415.15,0.11,74653650.0,0.02,,,,,,,,,144450.0,-93.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.11|OI:0.02|VOL:-93.9|FUT:nan,PDNA_92C80035,60,MEDIUM,NEUTRAL
IDFCFIRSTB,84.87,0.14,353748500.0,0.12,,,,,,,,,1465450.0,-94.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.14|OI:0.12|VOL:-94.2|FUT:nan,PDNA_35EBC788,60,MEDIUM,NEUTRAL
GLENMARK,2274.5,0.11,11722875.0,0.15,,,,,,,,,78000.0,-92.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.11|OI:0.15|VOL:-92.97|FUT:nan,PDNA_682DA3E9,60,MEDIUM,NEUTRAL
VBL,447.45,0.27,54350700.0,0.06,,,,,,,,,136425.0,-97.4,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.27|OI:0.06|VOL:-97.4|FUT:nan,PDNA_9CD2DAC5,60,MEDIUM,NEUTRAL
