Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
MIDCPNIFTY,"14,913.4",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1916520,0.04,0.04,0.04,0.04,0.04,,,,,,,,,18960,-83.39,-83.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
ANGELONE,297.35,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,28660000,0.46,0.46,0.46,0.46,0.46,,,,,,,,,467500,-83.93,-83.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
GMRAIRPORT,106.55,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,128472525,0.17,0.17,0.17,0.17,0.17,,,,,,,,,927675,-84.37,-84.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
CAMS,790.4,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,7498425,0.43,0.43,0.43,0.43,0.43,,,,,,,,,128700,-84.43,-84.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
COLPAL,"2,033.7",-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,5022600,0.17,0.17,0.17,0.17,0.17,,,,,,,,,39325,-84.59,-84.59,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
PRESTIGE,1592,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,5237550,0.61,0.61,0.61,0.61,0.61,,,,,,,,,68400,-84.62,-84.62,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
DELHIVERY,468.05,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,26979150,0.05,0.05,0.05,0.05,0.05,,,,,,,,,560250,-85.38,-85.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
ASIANPAINT,"2,749.9",-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,7472000,0.08,0.08,0.08,0.08,0.08,,,,,,,,,73250,-86.1,-86.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
UPL,574.45,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,34940030,0.59,0.59,0.59,0.59,0.59,,,,,,,,,352300,-86.16,-86.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
LICHSGFIN,497.4,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,31580000,0.39,0.39,0.39,0.39,0.39,,,,,,,,,353000,-86.26,-86.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
VOLTAS,"1,300.1",1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,7321500,-0.49,-0.49,-0.49,-0.49,-0.49,,,,,,,,,359625,-86.28,-86.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
SUZLON,48.37,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,457377800,0.01,0.01,0.01,0.01,0.01,,,,,,,,,2336800,-86.39,-86.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
OFSS,11715,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,1244800,0.53,0.53,0.53,0.53,0.53,,,,,,,,,18700,-86.47,-86.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
RVNL,234.52,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,35839650,1.41,1.41,1.41,1.41,1.41,,,,,,,,,1085700,-86.5,-86.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
SENSEX,78975,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,38520,-2.18,-2.18,-2.18,-2.18,-2.18,,,,,,,,,3520,-86.89,-86.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
CHOLAFIN,"1,911.7",-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,13650625,0.4,0.4,0.4,0.4,0.4,,,,,,,,,363125,-87.15,-87.15,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
LAURUSLABS,"1,838.6",0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,16595400,0.09,0.09,0.09,0.09,0.09,,,,,,,,,226100,-87.68,-87.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
OBEROIRLTY,1795,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,5583550,0.33,0.33,0.33,0.33,0.33,,,,,,,,,66150,-87.84,-87.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
UNOMINDA,"1,281.4",1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,4851550,0.33,0.33,0.33,0.33,0.33,,,,,,,,,92400,-87.91,-87.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
360ONE,1187,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,4189000,1.37,1.37,1.37,1.37,1.37,,,,,,,,,130000,-88.05,-88.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
KAYNES,"3,852.6",-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,4179900,-0.15,-0.15,-0.15,-0.15,-0.15,,,,,,,,,110250,-88.1,-88.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
COFORGE,1798,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,13395950,-0.01,-0.01,-0.01,-0.01,-0.01,,,,,,,,,161500,-88.36,-88.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
BLUESTARCO,1569,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,4474275,-0.28,-0.28,-0.28,-0.28,-0.28,,,,,,,,,504400,-88.52,-88.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
POWERINDIA,32550,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,583050,-0.3,-0.3,-0.3,-0.3,-0.3,,,,,,,,,12575,-88.56,-88.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
ADANIENSOL,"1,612.5",-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,19344150,-0.14,-0.14,-0.14,-0.14,-0.14,,,,,,,,,118800,-88.58,-88.58,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
UNITDSPR,"1,527.3",-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,7492400,0.02,0.02,0.02,0.02,0.02,,,,,,,,,41200,-88.61,-88.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
DIXON,14115,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,2559650,0.04,0.04,0.04,0.04,0.04,,,,,,,,,23900,-88.76,-88.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
WIPRO,188.15,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,213456000,0,0,0,0,0,,,,,,,,,933000,-88.84,-88.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
SBIN,"1,090.7",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,81819000,0.67,0.67,0.67,0.67,0.67,,,,,,,,,2565750,-88.97,-88.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
ASHOKLEY,176.59,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,136605000,0.34,0.34,0.34,0.34,0.34,,,,,,,,,1565000,-89.03,-89.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
BAJAJHLDNG,11373,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,341700,-0.04,-0.04,-0.04,-0.04,-0.04,,,,,,,,,1950,-89.03,-89.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
