symbol,outcome_source,outcome_timestamp,outcome_date
TATAPOWER,breakout_events.csv,2026-09-02 14:34:51.726602000,2026-09-02
NATIONALUM,approaching_breakouts.csv,2026-08-12 09:20:02.133933000,2026-08-12
FORTIS,approaching_breakouts.csv,2026-08-12 09:34:47.029140000,2026-08-12
PNB,approaching_breakouts.csv,2026-08-12 09:34:47.029140000,2026-08-12
ZYDUSLIFE,approaching_breakouts.csv,2026-08-12 09:34:47.029140000,2026-08-12
UNIONBANK,approaching_breakouts.csv,2026-08-12 09:34:47.029140000,2026-08-12
BOSCHLTD,approaching_breakouts.csv,2026-08-12 09:34:47.029140000,2026-08-12
HINDALCO,approaching_breakouts.csv,2026-08-12 09:34:47.029140000,2026-08-12
IDEA,approaching_breakouts.csv,2026-08-12 10:27:31.959841000,2026-08-12
ADANIENSOL,approaching_breakouts.csv,2026-08-12 10:27:31.959841000,2026-08-12
BANKBARODA,approaching_breakouts.csv,2026-08-12 10:27:31.959841000,2026-08-12
BANKINDIA,approaching_breakouts.csv,2026-08-12 10:27:31.959841000,2026-08-12
INDIANB,approaching_breakouts.csv,2026-08-12 10:27:31.959841000,2026-08-12
CANBK,approaching_breakouts.csv,2026-08-12 10:27:31.959841000,2026-08-12
ADANIGREEN,approaching_breakouts.csv,2026-08-12 10:44:17.556980000,2026-08-12
ASTRAL,approaching_breakouts.csv,2026-08-13 09:18:06.016647000,2026-08-13
GMRAIRPORT,approaching_breakouts.csv,2026-08-13 09:18:06.016647000,2026-08-13
PETRONET,approaching_breakouts.csv,2026-08-13 09:18:06.016647000,2026-08-13
SUPREMEIND,approaching_breakouts.csv,2026-08-13 09:18:06.016647000,2026-08-13
ULTRACEMCO,approaching_breakouts.csv,2026-08-13 09:20:31.104516000,2026-08-13
BAJAJHLDNG,approaching_breakouts.csv,2026-08-13 09:20:31.104516000,2026-08-13
BRITANNIA,approaching_breakouts.csv,2026-08-13 10:24:25.977773000,2026-08-13
ZYDUSLIFE,approaching_breakouts.csv,2026-08-13 10:24:25.977773000,2026-08-13
GVT&D,approaching_breakouts.csv,2026-08-13 10:24:25.977773000,2026-08-13
ADANIENSOL,approaching_breakouts.csv,2026-08-13 10:24:25.977773000,2026-08-13
OBEROIRLTY,approaching_breakouts.csv,2026-08-13 10:24:25.977773000,2026-08-13
APLAPOLLO,approaching_breakouts.csv,2026-08-13 12:30:46.431034000,2026-08-13
FORCEMOT,approaching_breakouts.csv,2026-08-13 12:30:46.431034000,2026-08-13
LODHA,approaching_breakouts.csv,2026-08-13 12:30:46.431034000,2026-08-13
TIINDIA,approaching_breakouts.csv,2026-08-13 12:30:46.431034000,2026-08-13
CONCOR,approaching_breakouts.csv,2026-08-13 13:58:56.288968000,2026-08-13
TATACONSUM,approaching_breakouts.csv,2026-08-13 13:58:56.288968000,2026-08-13
NYKAA,approaching_breakouts.csv,2026-08-13 13:58:56.288968000,2026-08-13
SENSEX,approaching_breakouts.csv,2026-08-13 13:58:56.288968000,2026-08-13
GODREJCP,approaching_breakouts.csv,2026-08-13 13:58:56.288968000,2026-08-13
HINDUNILVR,approaching_breakouts.csv,2026-08-13 13:58:56.288968000,2026-08-13
TRENT,approaching_breakouts.csv,2026-08-14 09:17:07.288828000,2026-08-14
TMPV,approaching_breakouts.csv,2026-08-14 09:17:07.288828000,2026-08-14
SOLARINDS,approaching_breakouts.csv,2026-08-14 09:20:57.594350000,2026-08-14
