Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
GODREJPROP,2115,-0.09,-0.09,-0.09,-0.09,-0.09,7378475,0.1,0.1,,,,,,,,,25675,-96.95,-96.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
APLAPOLLO,"1,888.6",-0.2,-0.2,-0.2,-0.2,-0.2,4434150,0.06,0.06,,,,,,,,,12250,-96.92,-96.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
AUBANK,"1,041.1",0.62,0.62,0.62,0.62,0.62,21657000,0.07,0.07,,,,,,,,,83000,-96.88,-96.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
FORTIS,956.35,0.29,0.29,0.29,0.29,0.29,9007050,-0.04,-0.04,,,,,,,,,18600,-96.81,-96.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
ADANIGREEN,1370,0.26,0.26,0.26,0.26,0.26,26359800,-0.02,-0.02,,,,,,,,,43800,-96.8,-96.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
IDEA,13.03,0.62,0.62,0.62,0.62,0.62,5881105950,0.03,0.03,,,,,,,,,6075375,-96.77,-96.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
ITC,285.65,-0.19,-0.19,-0.19,-0.19,-0.19,156864600,0.04,0.04,,,,,,,,,376050,-96.76,-96.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
OBEROIRLTY,"1,827.4",0.46,0.46,0.46,0.46,0.46,5476800,-0.01,-0.01,,,,,,,,,11550,-96.75,-96.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
KPITTECH,573.95,-1.79,-1.79,-1.79,-1.79,-1.79,14187150,0.35,0.35,,,,,,,,,399125,-96.74,-96.74,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
GODREJCP,1068,-0.51,-0.51,-0.51,-0.51,-0.51,10410000,0.06,0.06,,,,,,,,,19000,-96.71,-96.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
HDFCLIFE,548.6,0.03,0.03,0.03,0.03,0.03,43164000,0.14,0.14,,,,,,,,,167200,-96.69,-96.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
BOSCHLTD,41555,0.28,0.28,0.28,0.28,0.28,204625,0.06,0.06,,,,,,,,,750,-96.68,-96.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
HINDPETRO,390.8,0.04,0.04,0.04,0.04,0.04,43509150,0.11,0.11,,,,,,,,,188325,-96.68,-96.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
BANDHANBNK,173.46,0.71,0.71,0.71,0.71,0.71,131418000,0.02,0.02,,,,,,,,,316800,-96.65,-96.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
PAYTM,"1,344.9",0.64,0.64,0.64,0.64,0.64,19348075,0.04,0.04,,,,,,,,,118175,-96.61,-96.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
UNOMINDA,"1,182.5",0.31,0.31,0.31,0.31,0.31,4414300,0.04,0.04,,,,,,,,,23100,-96.61,-96.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
SRF,2625,0.19,0.19,0.19,0.19,0.19,4455000,0.09,0.09,,,,,,,,,11000,-96.57,-96.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
MARICO,885.95,-0.24,-0.24,-0.24,-0.24,-0.24,14490000,0.09,0.09,,,,,,,,,96000,-96.55,-96.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
