Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID
AMBUJACEM,440.7,1.08,78907200.0,0.09,,,,,,,,,468000.0,-90.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.08|OI:0.09|VOL:-90.96|FUT:nan,PDNA_ED0FC873
HINDALCO,984.95,1.13,51991100.0,0.42,,,,,,,,,972300.0,-85.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.13|OI:0.42|VOL:-85.95|FUT:nan,PDNA_4F46D1D1
LTF,310.0,1.34,49668750.0,0.04,,,,,,,,,549000.0,-86.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.34|OI:0.04|VOL:-86.51|FUT:nan,PDNA_8DA69A53
KEI,4929.5,2.38,1998150.0,0.15,,,,,,,,,33775.0,-88.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:2.38|OI:0.15|VOL:-88.42|FUT:nan,PDNA_25C024D1
POLYCAB,9060.0,1.27,2339750.0,-0.54,,,,,,,,,44750.0,-89.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:1.27|OI:-0.54|VOL:-89.02|FUT:nan,PDNA_AD1F0CD8
ASHOKLEY,161.5,1.43,148150000.0,0.27,,,,,,,,,2470000.0,-89.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.43|OI:0.27|VOL:-89.02|FUT:nan,PDNA_74BE963E
JINDALSTEL,1111.3,1.21,12761875.0,-0.02,,,,,,,,,136250.0,-88.04,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:1.21|OI:-0.02|VOL:-88.04|FUT:nan,PDNA_A994CC48
GODFRYPHLP,2170.1,2.79,1808950.0,-0.38,,,,,,,,,58850.0,-86.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:2.79|OI:-0.38|VOL:-86.49|FUT:nan,PDNA_0A823AED
BHARATFORG,2201.8,1.29,7539500.0,0.21,,,,,,,,,132000.0,-79.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.29|OI:0.21|VOL:-79.08|FUT:nan,PDNA_1DB179C5
SIEMENS,3689.6,1.53,3673775.0,0.14,,,,,,,,,60200.0,-79.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.53|OI:0.14|VOL:-79.23|FUT:nan,PDNA_048A92D7
