Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
AMBUJACEM,440.7,1.08,78907200.0,0.09,,,,,,,,,468000.0,-90.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.08|OI:0.09|VOL:-90.96|FUT:nan,PDNA_ED0FC873,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,440.7,,
ABCAPITAL,408.0,3.07,34220900.0,0.87,,,,,,,,,2089400.0,-40.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:3.07|OI:0.87|VOL:-40.83|FUT:nan,PDNA_64484FF7,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,408.0,,
PREMIERENE,987.3,0.07,7824700.0,0.18,,,,,,,,,26000.0,-99.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.07|OI:0.18|VOL:-99.17|FUT:nan,PDNA_D42CFEEF,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,987.3,,
TIINDIA,2724.8,0.81,2119200.0,0.09,,,,,,,,,8800.0,-98.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.81|OI:0.09|VOL:-98.37|FUT:nan,PDNA_2E299741,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2724.8,,
DELHIVERY,470.9,0.33,22874800.0,0.01,,,,,,,,,47725.0,-98.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.33|OI:0.01|VOL:-98.36|FUT:nan,PDNA_9E49FA96,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,470.9,,
BIOCON,427.5,0.12,47272500.0,0.04,,,,,,,,,67500.0,-99.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.12|OI:0.04|VOL:-99.23|FUT:nan,PDNA_C1BAB9CC,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,427.5,,
360ONE,1149.4,0.34,4137500.0,0.07,,,,,,,,,18000.0,-98.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.34|OI:0.07|VOL:-98.71|FUT:nan,PDNA_B0F51DCB,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1149.4,,
BLUESTARCO,1705.0,0.29,3097250.0,0.05,,,,,,,,,4875.0,-98.54,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.29|OI:0.05|VOL:-98.54|FUT:nan,PDNA_CD854DAA,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1705.0,,
NBCC,94.11,0.43,99879000.0,0.04,,,,,,,,,65000.0,-99.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.43|OI:0.04|VOL:-99.01|FUT:nan,PDNA_176032C1,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,94.11,,
BHARATFORG,2201.8,1.29,7539500.0,0.21,,,,,,,,,132000.0,-79.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.29|OI:0.21|VOL:-79.08|FUT:nan,PDNA_1DB179C5,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2201.8,,
