Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
CROMPTON,262.8,0.48,58125250.0,0.01,,,,,,,,,96750.0,-97.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
DLF,660.7,0.45,46889150.0,0.01,,,,,,,,,94050.0,-97.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
ICICIPRULI,513.3,0.28,18769175.0,0.04,,,,,,,,,22200.0,-98.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
PATANJALI,357.2,0.08,30793375.0,-0.02,,,,,,,,,174150.0,-97.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
MAXHEALTH,1133.0,0.32,9543450.0,0.0,,,,,,,,,17325.0,-97.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
LICI,418.95,0.31,18881800.0,0.0,,,,,,,,,40600.0,-97.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
CONCOR,525.1,0.01,21706250.0,-0.01,,,,,,,,,27500.0,-97.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
PHOENIXLTD,1893.4,-0.17,3530100.0,0.05,,,,,,,,,2450.0,-99.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
PAGEIND,41045.0,0.17,239980.0,0.02,,,,,,,,,140.0,-99.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
COCHINSHIP,1411.7,0.33,5708000.0,0.02,,,,,,,,,1600.0,-99.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
DALBHARAT,1811.5,0.66,3796650.0,-0.01,,,,,,,,,1625.0,-99.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
RADICO,4370.0,-0.34,756150.0,0.12,,,,,,,,,2700.0,-99.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
NBCC,94.11,0.43,99879000.0,0.04,,,,,,,,,65000.0,-99.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
SUPREMEIND,3467.4,-0.23,2274300.0,0.02,,,,,,,,,3325.0,-98.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
ASTRAL,1439.5,-0.1,7182075.0,0.07,,,,,,,,,11050.0,-98.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
CAMS,791.0,-0.53,6709725.0,0.0,,,,,,,,,12375.0,-98.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
360ONE,1149.4,0.34,4137500.0,0.07,,,,,,,,,18000.0,-98.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
PRESTIGE,1594.2,-0.38,4962150.0,0.1,,,,,,,,,22050.0,-98.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
BLUESTARCO,1705.0,0.29,3097250.0,0.05,,,,,,,,,4875.0,-98.54,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
PIDILITIND,1641.3,0.29,7517000.0,0.0,,,,,,,,,11500.0,-98.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
INOXWIND,75.85,0.74,106592000.0,0.05,,,,,,,,,236800.0,-98.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
