Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Price,Price Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg %
TORNTPHARM,,,,,,19.0,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,5013.2,0.38,36265.0,25.0,0.07,0.58,5000.0,1297.0,-18.0,545.0,-10.0,0.26,LB,,,,,,,,,,,,,,,,,
HINDUNILVR,,,,,,18.9,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,2205.0,0.86,52907.0,858.0,1.65,0.81,2200.0,1808.0,80.0,1030.0,83.0,0.23,LB,,,,,,,,,,,,,,,,,
BPCL,,,,,,2.05,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,320.65,0.64,18393.0,63.0,0.34,0.83,320.0,685.0,37.0,292.0,5.0,0.2,LB,,,,,,,,,,,,,,,,,
FEDERALBNK,,,,,,-1.4,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,355.4,-0.39,35138.0,81.0,0.23,0.88,355.0,780.0,121.0,342.0,7.0,0.11,SB,,,,,,,,,,,,,,,,,
NYKAA,,,,,,1.2,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,330.3,0.36,13764.0,51.0,0.37,0.78,330.0,230.0,42.0,44.0,0.0,0.09,LB,,,,,,,,,,,,,,,,,
LODHA,,,,,,43.65,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1200.35,3.77,21980.0,239.0,1.1,0.64,1200.0,987.0,-151.0,542.0,137.0,0.03,LB,,,,,,,,,,,,,,,,,
COCHINSHIP,,,,,,-5.0,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1400.1,-0.36,13155.0,35.0,0.27,0.85,1400.0,795.0,2.0,461.0,4.0,0.01,SB,,,,,,,,,,,,,,,,,
GAIL,,,,,,-0.47,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,174.98,-0.27,19719.0,156.0,0.8,0.87,175.0,759.0,80.0,262.0,16.0,-0.01,SB,,,,,,,,,,,,,,,,,
PFC,,,,,,2.5,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,419.8,0.6,30235.0,223.0,0.74,0.8,420.0,674.0,131.0,330.0,49.0,-0.05,LB,,,,,,,,,,,,,,,,,
CHOLAFIN,,,,,,-0.7,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1798.0,-0.04,18789.0,368.0,2.0,0.64,1800.0,614.0,49.0,309.0,13.0,-0.11,SB,,,,,,,,,,,,,,,,,
DIVISLAB,,,,,,23.0,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,7485.0,0.31,33951.0,134.0,0.4,0.7,7500.0,856.0,45.0,454.0,7.0,-0.2,LB,,,,,,,,,,,,,,,,,
INDUSINDBK,,,,,,-10.3,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,998.0,-1.02,48323.0,133.0,0.28,0.8,1000.0,1161.0,45.0,1403.0,44.0,-0.2,SB,,,,,,,,,,,,,,,,,
NTPC,,,,,,-2.5,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,349.15,-0.71,60564.0,1822.0,3.1,0.79,350.0,1618.0,196.0,1064.0,98.0,-0.24,SB,,,,,,,,,,,,,,,,,
ITC,,,,,,1.35,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,289.15,0.47,78331.0,1904.0,2.49,0.79,290.0,4427.0,-342.0,2331.0,136.0,-0.29,LB,,,,,,,,,,,,,,,,,
ETERNAL,,,,,,2.5,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,299.0,0.84,59998.0,1016.0,1.72,0.65,300.0,2930.0,210.0,888.0,78.0,-0.33,LB,,,,,,,,,,,,,,,,,
PATANJALI,,,,,,-0.05,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,348.85,-0.01,23938.0,-18.0,-0.08,0.63,350.0,1424.0,-8.0,969.0,-6.0,-0.33,LU,,,,,,,,,,,,,,,,,
UNITDSPR,,,,,,3.8,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1494.9,0.25,19028.0,67.0,0.35,1.0,1500.0,1403.0,63.0,1187.0,-1.0,-0.34,LB,,,,,,,,,,,,,,,,,
VMM,,,,,,-0.61,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,109.63,-0.55,7961.0,-3.0,-0.04,0.49,110.0,400.0,1.0,0.0,,-0.34,LU,,,,,,,,,,,,,,,,,
HINDPETRO,,,,,,1.9,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,398.45,0.48,19158.0,171.0,0.9,0.84,400.0,867.0,-7.0,581.0,0.0,-0.39,LB,,,,,,,,,,,,,,,,,
BRITANNIA,,,,,,52.5,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,5377.5,0.99,15439.0,-3.0,-0.02,0.94,5400.0,416.0,22.0,128.0,10.0,-0.42,SC,,,,,,,,,,,,,,,,,
PERSISTENT,,,,,,187.7,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,5475.0,3.55,28156.0,431.0,1.55,0.79,5500.0,1095.0,108.0,268.0,93.0,-0.45,LB,,,,,,,,,,,,,,,,,
