Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Price,Price Chg%,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price chg (%),Volume chg (%),OI chg (%),Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg (%)
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BAJAJHLDNG,10827,-37,-0.34,314025,525,0.17,0.5,30.73,6.52,21.22 - 61.59,25.65 / 31.37 / 29.34,23.56,53.57,19.81,-2.04,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BAJFINANCE,1052.5,-0.7,-0.07,62058750,271500,0.44,0.83,28.88,-0.86,16.72 - 42.85,37.08 / 32.46 / 30.13,46.84,74.8,-22.11,-11.03,-4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BANDHANBNK,166.64,-1.99,-1.18,116269200,838800,0.73,0.51,38.26,-2.07,12.67 - 79.07,108.94 / 87.09 / 75.52,38.43,69.92,-64.88,-56.07,-49.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BANKBARODA,241.5,-4.2,-1.71,116388675,742950,0.64,0.99,27.66,1.99,13.00 - 48.13,32.35 / 36.16 / 34.28,42.5,66.26,-14.5,-23.51,-19.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BANKINDIA,137.35,-1.18,-0.85,85066800,889200,1.06,0.82,33.32,4.88,14.29 - 59.98,37.77 / 46.52 / 38.53,41.34,59.76,-11.78,-28.37,-13.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BANKNIFTY,57125,-271.2,-0.47,1698150,27240,1.63,0.88,14.41,2.49,6.65 - 38.76,17.93 / 18.83 / 17.82,24.07,63.82,-19.63,-23.47,-19.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BDL,1221.3,-3.4,-0.28,6596000,98600,1.52,0.85,41.13,4.31,17.11 - 53.54,20.54 / 31.00 / 40.14,65.93,79.27,100.24,32.68,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BEL,393.85,-14.5,-3.55,83034750,4778025,6.11,0.66,27.97,-1.44,15.33 - 59.83,10.23 / 21.05 / 25.50,28.4,63.41,173.41,32.87,9.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BHARATFORG,2171.3,-24.1,-1.1,7048500,39500,0.56,0.86,31.2,-2.13,16.12 - 46.76,30.75 / 27.00 / 29.78,50.52,69.92,1.46,15.56,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BHARTIARTL,1910.5,-7,-0.37,55256275,172900,0.31,0.88,19.76,-0.15,8.38 - 28.10,21.55 / 22.66 / 21.85,57.81,75.2,-8.31,-12.8,-9.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
