Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %
ADANIENT,3024.1,-1.14,14533197.0,1.45,,,,,,,,,383469.0,-93.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,3024.1,3084.582,2903.136,True,Eligible,3035.3,2991.3,2999.3,EOD EXIT,Neither target nor stop reached; exited at close,2999.3,24.799999999999727,0.8200787011011451
CANBK,126.25,-1.62,364945500.0,1.15,,,,,,,,,9949500.0,-93.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,126.25,128.775,121.2,True,Eligible,126.86,123.9,124.15,EOD EXIT,Neither target nor stop reached; exited at close,124.15,2.0999999999999943,1.6633663366336588
CHOLAFIN,1798.0,-0.04,11743125.0,2.0,,,,,,,,,383125.0,-93.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1798.0,1833.96,1726.08,True,Eligible,1817.9,1696.6,1756.2,TARGET HIT,Target reached during replay range,1726.08,71.92000000000007,4.000000000000004
SUZLON,52.25,-1.99,366306100.0,1.9,,,,,,,,,12458700.0,-88.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,52.25,53.295,50.16,True,Eligible,53.15,47.78,48.02,TARGET HIT,Target reached during replay range,50.16,2.0900000000000034,4.000000000000006
TATAPOWER,374.55,-1.23,41913700.0,5.48,,,,,,,,,4147000.0,-68.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,374.55,382.041,359.568,True,Eligible,382.9,366.7,370.7,STOP LOSS HIT,Stop loss breached during replay range,382.041,-7.4909999999999854,-1.9999999999999962
HDFCBANK,741.6,-0.42,274278550.0,1.42,,,,,,,,,6054100.0,-90.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,741.6,756.432,711.936,True,Eligible,741.6,733.25,736.5,EOD EXIT,Neither target nor stop reached; exited at close,736.5,5.100000000000023,0.6877022653721713
SUPREMEIND,3312.1,-0.96,1974875.0,0.61,,,,,,,,,68075.0,-92.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,3312.1,3378.342,3179.616,True,Eligible,3490.9,3293.6,3397.5,STOP LOSS HIT,Stop loss breached during replay range,3378.342,-66.24200000000019,-2.0000000000000058
GVT&D,4105.2,-2.8,2453625.0,3.54,,,,,,,,,219125.0,-81.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,4105.2,4187.304,3940.992,True,Eligible,4139.3,3955.3,4119.1,EOD EXIT,Neither target nor stop reached; exited at close,4119.1,-13.900000000000546,-0.338594952742876
ABCAPITAL,394.45,-1.94,30975200.0,1.24,,,,,,,,,1413600.0,-86.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,394.45,402.339,378.672,True,Eligible,405.95,387.8,390.0,STOP LOSS HIT,Stop loss breached during replay range,402.339,-7.88900000000001,-2.0000000000000027
CGPOWER,852.6,-3.45,16947300.0,2.69,,,,,,,,,1132200.0,-86.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,852.6,869.652,818.496,True,Eligible,868.55,829.35,842.45,EOD EXIT,Neither target nor stop reached; exited at close,842.45,10.149999999999977,1.1904761904761878
