Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
ICICIBANK,1455.9,0.76,103451600.0,0.34,,,,,,,,,1348200.0,-76.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.76|OI:0.34|VOL:-76.01|FUT:nan,PDNA_87631BD4,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1455.9,,
PREMIERENE,1044.8,0.36,7278700.0,0.29,,,,,,,,,61750.0,-79.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.36|OI:0.29|VOL:-79.79|FUT:nan,PDNA_7DC2155A,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1044.8,,
NESTLEIND,1521.1,0.4,7612000.0,0.98,,,,,,,,,158500.0,-91.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.4|OI:0.98|VOL:-91.8|FUT:nan,PDNA_1FB2226C,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1521.1,,
BANKBARODA,248.11,0.23,130604175.0,0.13,,,,,,,,,1050075.0,-91.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.23|OI:0.13|VOL:-91.48|FUT:nan,PDNA_3B84CD6D,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,248.11,,
NIFTY,24717.1,0.28,12315550.0,0.15,,,,,,,,,261105.0,-91.15,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.28|OI:0.15|VOL:-91.15|FUT:nan,PDNA_6B5F4FE6,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,24717.1,,
ADANIENSOL,1634.0,0.07,19273275.0,0.04,,,,,,,,,62100.0,-90.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.07|OI:0.04|VOL:-90.89|FUT:nan,PDNA_3BA9149E,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1634.0,,
APOLLOHOSP,8979.0,0.51,1935250.0,0.35,,,,,,,,,19000.0,-90.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.51|OI:0.35|VOL:-90.85|FUT:nan,PDNA_D12A23D9,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,8979.0,,
SUPREMEIND,3501.6,0.51,2313150.0,0.03,,,,,,,,,14175.0,-91.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.51|OI:0.03|VOL:-91.82|FUT:nan,PDNA_63106FF4,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3501.6,,
JINDALSTEL,1127.1,0.25,14275000.0,0.7,,,,,,,,,245625.0,-82.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.25|OI:0.7|VOL:-82.01|FUT:nan,PDNA_31A81528,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1127.1,,
LUPIN,2418.7,0.53,6624900.0,0.24,,,,,,,,,108375.0,-86.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.53|OI:0.24|VOL:-86.85|FUT:nan,PDNA_0FB6CB0B,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2418.7,,
