trading_date,observation_timestamp,Symbol,Open,High,Low,Close,ATM Straddle %,current_price,opening_straddle_premium,upper_straddle_breakout_level,lower_straddle_breakout_level,standard_straddle_breakout,breakout_direction,Price Chg %,IV Chg %,OI Chg %,PCR Chg %
2026-08-27,2026-08-27T09:20:10.246693,CAMS,755.75,756.5,753.0,755.5,5.74,755.5,43.380050000000004,799.13005,712.36995,False,NONE,0.07,0.77,0.04,0
2026-08-27,2026-08-27T09:20:10.246693,CANBK,130.95,131.14,129.81,130.1,5.39,130.1,7.058204999999999,138.00820499999998,123.89179499999999,False,NONE,-0.05,3.18,0.01,-1.03
2026-08-27,2026-08-27T09:20:10.246693,CDSL,1455.1,1455.5,1440.1,1450.8,6.02,1450.8,87.59701999999999,1542.6970199999998,1367.50298,False,NONE,0.33,2,0.47,-1.39
2026-08-27,2026-08-27T09:20:10.246693,CGPOWER,876.0,897.0,875.95,892.55,6.33,892.55,55.4508,931.4508,820.5492,False,NONE,2.28,5.76,-0.24,-10.68
2026-08-27,2026-08-27T09:20:10.246693,CHOLAFIN,1890.0,1902.0,1887.2,1897.0,5.8,1897.0,109.62,1999.62,1780.38,False,NONE,0.37,1.82,0.02,-2.17
2026-08-27,2026-08-27T09:20:10.246693,CIPLA,1415.9,1423.9,1412.2,1415.2,4.17,1415.2,59.04303,1474.9430300000001,1356.85697,False,NONE,-0.07,1.11,-0.04,0
2026-08-27,2026-08-27T09:20:10.246693,COALINDIA,401.05,402.8,400.55,400.75,3.73,400.75,14.959165,416.009165,386.090835,False,NONE,-0.27,-0.13,0.0,0
2026-08-27,2026-08-27T09:20:10.246693,COCHINSHIP,1566.0,1569.9,1562.1,1567.0,6.05,1567.0,94.743,1660.743,1471.257,False,NONE,0.06,-3.71,0.38,-4.84
2026-08-27,2026-08-27T09:20:10.246693,COFORGE,1895.1,1909.9,1895.1,1907.3,6.57,1907.3,124.50807,2019.60807,1770.5919299999998,False,NONE,0.7,-1.12,-0.01,0
2026-08-27,2026-08-27T09:20:10.246693,COLPAL,1886.3,1886.3,1872.3,1882.0,4.79,1882.0,90.35377,1976.65377,1795.94623,False,NONE,0.11,6.85,0.0,0
2026-08-27,2026-08-27T09:20:10.246693,CONCOR,519.8,520.0,519.1,519.1,5.33,519.1,27.705339999999996,547.5053399999999,492.09466,False,NONE,-0.29,13.1,0.0,0
2026-08-27,2026-08-27T09:20:10.246693,CROMPTON,241.0,241.95,240.65,241.85,6.22,241.85,14.9902,255.9902,226.0098,False,NONE,0.58,2.67,0.09,-1.45
2026-08-27,2026-08-27T09:20:10.246693,CUMMINSIND,5249.0,5294.0,5249.0,5283.0,5.13,5283.0,269.27369999999996,5518.2737,4979.7263,False,NONE,1.03,-1.59,0.21,3.92
2026-08-27,2026-08-27T09:20:10.246693,DABUR,396.55,397.5,396.1,396.85,4.27,396.85,16.932685,413.482685,379.617315,False,NONE,0.01,2.55,0.04,-1.28
2026-08-27,2026-08-27T09:20:10.246693,DELHIVERY,452.4,453.05,451.8,453.05,5.22,453.05,23.61528,476.01527999999996,428.78472,False,NONE,0.03,2.25,-0.02,-1.45
2026-08-27,2026-08-27T09:20:10.246693,DIVISLAB,9082.0,9190.0,9082.0,9149.5,4.89,9149.5,444.10979999999995,9526.1098,8637.8902,False,NONE,0.9,5.91,0.65,2.88
2026-08-27,2026-08-27T09:20:10.246693,DIXON,14296.0,14351.0,14294.0,14351.0,6.54,14351.0,934.9584,15230.9584,13361.0416,False,NONE,0.38,-3.47,0.11,0
2026-08-27,2026-08-27T09:20:10.246693,DLF,683.45,683.45,678.45,679.7,5.92,679.7,40.460240000000006,723.91024,642.98976,False,NONE,-0.03,0.12,0.04,-1.54
2026-08-27,2026-08-27T09:20:10.246693,DMART,3845.0,3859.9,3841.3,3858.0,5.07,3858.0,194.94150000000002,4039.9415,3650.0585,False,NONE,0.26,-1.68,0.04,-1.41
2026-08-27,2026-08-27T09:20:10.246693,DRREDDY,1180.0,1189.1,1180.0,1183.2,4.23,1183.2,49.91400000000001,1229.914,1130.086,False,NONE,0.36,-2.72,-0.06,0
2026-08-27,2026-08-27T09:20:10.246693,EICHERMOT,8075.0,8122.0,8065.5,8113.0,4.27,8113.0,344.8025,8419.8025,7730.1975,False,NONE,0.03,0.97,0.04,0
2026-08-27,2026-08-27T09:20:10.246693,ETERNAL,328.0,329.35,326.65,327.55,6.18,327.55,20.2704,348.2704,307.7296,False,NONE,0.4,-1.69,-0.02,2.17
2026-08-27,2026-08-27T09:20:10.246693,FEDERALBNK,348.55,349.95,348.55,349.95,4.6,349.95,16.0333,364.5833,332.5167,False,NONE,0.32,2.41,-0.02,0
2026-08-27,2026-08-27T09:20:10.246693,FINNIFTY,26611.6,26611.6,26557.7,26600.0,2.74,26600.0,729.15784,27340.75784,25882.44216,False,NONE,-0.05,-2.11,0.34,0
2026-08-27,2026-08-27T09:20:10.246693,FOCIT,37202.0,37262.0,36840.0,36920.0,0.98,36920.0,364.57959999999997,37566.5796,36837.4204,False,NONE,0.0,12.05,0.0,-5.84
2026-08-27,2026-08-27T09:20:10.246693,FORCEMOT,17527.0,17530.0,17490.0,17500.0,8.26,17500.0,1447.7302,18974.730199999998,16079.2698,False,NONE,-0.09,2.32,0.05,0
2026-08-27,2026-08-27T09:20:10.246693,FORTIS,921.1,925.45,921.1,922.7,4.72,922.7,43.475919999999995,964.57592,877.62408,False,NONE,-0.18,-0.1,0.04,1.09
2026-08-27,2026-08-27T09:20:10.246693,GAIL,174.98,175.18,174.61,174.66,4.3,174.66,7.524139999999999,182.50413999999998,167.45586,False,NONE,-0.15,3.68,0.03,0
2026-08-27,2026-08-27T09:20:10.246693,GLENMARK,2473.9,2495.7,2450.9,2491.1,7.77,2491.1,192.22203000000002,2666.12203,2281.67797,False,NONE,1.36,4.8,0.45,2.78
2026-08-27,2026-08-27T09:20:10.246693,GMRAIRPORT,100.25,100.25,99.23,99.29,5.38,99.29,5.3934500000000005,105.64345,94.85655,False,NONE,-0.16,1.87,0.09,-1.35
2026-08-27,2026-08-27T09:20:10.246693,GODFRYPHLP,2164.8,2172.0,2164.8,2165.1,7.32,2165.1,158.46336000000002,2323.2633600000004,2006.3366400000002,False,NONE,-0.26,2.54,0.06,1.35
2026-08-27,2026-08-27T09:20:10.246693,GODREJCP,933.4,934.0,930.0,930.0,4.83,930.0,45.083220000000004,978.48322,888.31678,False,NONE,-0.24,2.99,0.01,0
2026-08-27,2026-08-27T09:20:10.246693,GODREJPROP,2050.0,2050.0,2039.6,2040.9,6.28,2040.9,128.74,2178.74,1921.26,False,NONE,-0.9,1.84,0.09,0
2026-08-27,2026-08-27T09:20:10.246693,GRASIM,3296.1,3310.0,3292.0,3307.6,4.14,3307.6,136.45854,3432.55854,3159.64146,False,NONE,0.08,2.38,0.08,0
2026-08-27,2026-08-27T09:20:10.246693,GVT&D,4480.1,4550.0,4451.4,4500.0,9.04,4500.0,405.00104,4885.1010400000005,4075.0989600000003,False,NONE,2.45,15.91,1.94,-18.18
2026-08-27,2026-08-27T09:20:10.246693,HAL,4944.2,4947.0,4917.3,4924.7,5.47,4924.7,270.44773999999995,5214.647739999999,4673.75226,False,NONE,-0.07,2.84,0.15,-1.52
2026-08-27,2026-08-27T09:20:10.246693,HAVELLS,1252.1,1259.2,1252.1,1258.5,5.13,1258.5,64.23272999999999,1316.3327299999999,1187.86727,False,NONE,0.01,2.22,0.17,0
2026-08-27,2026-08-27T09:20:10.246693,HCLTECH,1309.5,1310.3,1300.8,1304.3,5.89,1304.3,77.12955,1386.62955,1232.37045,False,NONE,-0.4,0.78,-0.03,0
2026-08-27,2026-08-27T09:20:10.246693,HDFCAMC,2689.0,2709.5,2673.6,2706.6,5.2,2706.6,139.828,2828.828,2549.172,False,NONE,0.65,3.1,-0.01,1.22
2026-08-27,2026-08-27T09:20:10.246693,HDFCBANK,729.5,731.0,724.0,725.0,4.52,725.0,32.9734,762.4734,696.5266,False,NONE,-1.18,3.45,0.19,-1.43
2026-08-27,2026-08-27T09:20:10.246693,HDFCLIFE,558.95,559.95,555.5,556.9,4.46,556.9,24.929170000000003,583.87917,534.02083,False,NONE,-0.36,1.93,0.04,0
2026-08-27,2026-08-27T09:20:10.246693,HEROMOTOCO,5614.0,5639.5,5601.0,5608.0,5.47,5608.0,307.0858,5921.0858,5306.9142,False,NONE,-0.32,-1.26,0.02,-1.82
2026-08-27,2026-08-27T09:20:10.246693,HINDALCO,1068.0,1068.0,1057.65,1057.65,5.3,1057.65,56.604,1124.604,1011.396,False,NONE,-0.76,1.2,0.05,-1.37
2026-08-27,2026-08-27T09:20:10.246693,HINDPETRO,377.1,377.9,376.35,377.75,5.22,377.75,19.68462,396.78462,357.41538,False,NONE,0.17,1.51,0.03,-1.03
2026-08-27,2026-08-27T09:20:10.246693,HINDUNILVR,2040.0,2040.0,2033.1,2037.4,3.77,2037.4,76.908,2116.908,1963.092,False,NONE,-0.06,2.08,0.04,0
2026-08-27,2026-08-27T09:20:10.246693,HINDZINC,632.25,634.55,628.6,628.65,6.61,628.65,41.79172500000001,674.041725,590.458275,False,NONE,-0.63,0.99,0.25,-1.04
2026-08-27,2026-08-27T09:20:10.246693,HYUNDAI,2249.9,2286.6,2240.8,2264.4,5.72,2264.4,128.69428,2378.5942800000003,2121.20572,False,NONE,1.62,-1.49,0.66,2.74
2026-08-27,2026-08-27T09:20:10.246693,ICICIBANK,1451.0,1451.0,1440.2,1444.0,3.34,1444.0,48.4634,1499.4634,1402.5366,False,NONE,-0.06,2.97,0.08,-2.47
2026-08-27,2026-08-27T09:20:10.246693,ICICIGI,1606.4,1606.4,1600.0,1605.6,4.65,1605.6,74.69760000000001,1681.0976,1531.7024000000001,False,NONE,0.02,-1.88,0.06,0
2026-08-27,2026-08-27T09:20:10.246693,ICICIPRULI,522.55,522.55,516.0,519.85,5.44,519.85,28.42672,550.97672,494.12327999999997,False,NONE,-0.13,1.03,0.01,0
2026-08-27,2026-08-27T09:20:10.246693,IDEA,15.2,15.33,15.12,15.28,9.07,15.28,1.37864,16.57864,13.821359999999999,False,NONE,0.99,8.09,0.17,-1.82
2026-08-27,2026-08-27T09:20:10.246693,IDFCFIRSTB,85.37,85.37,85.06,85.25,4.77,85.25,4.072149,89.442149,81.29785100000001,False,NONE,-0.08,0.96,0.03,0
2026-08-27,2026-08-27T09:20:10.246693,IEX,123.12,123.55,122.8,123.49,6,123.49,7.3872,130.5072,115.7328,False,NONE,0.59,4.43,-0.01,0
2026-08-27,2026-08-27T09:20:10.246693,INDHOTEL,729.0,729.35,727.0,728.15,4.62,728.15,33.6798,762.6798,695.3202,False,NONE,0.03,-1.49,0.03,-1.41
2026-08-27,2026-08-27T09:20:10.246693,INDIANB,892.95,898.85,892.95,897.8,5.42,897.8,48.39789,941.34789,844.5521100000001,False,NONE,0.11,1.71,0.02,-1.47
2026-08-27,2026-08-27T09:20:10.246693,INDIGO,5277.0,5283.5,5253.5,5267.0,5.31,5267.0,280.20869999999996,5557.2087,4996.7913,False,NONE,-0.08,0.79,0.09,1.35
2026-08-27,2026-08-27T09:20:10.246693,INDUSINDBK,1007.2,1007.2,1001.1,1001.9,4.8,1001.9,48.345600000000005,1055.5456000000001,958.8544,False,NONE,-0.17,2.89,0.01,0
2026-08-27,2026-08-27T09:20:10.246693,INDUSTOWER,382.55,382.55,380.1,380.8,4.96,380.8,18.97448,401.52448000000004,363.57552,False,NONE,-0.16,8.77,0.01,1.82
2026-08-27,2026-08-27T09:20:10.246693,INFY,1125.6,1134.7,1125.0,1128.4,5.92,1128.4,66.63552,1192.23552,1058.9644799999999,False,NONE,-0.13,-2.66,-0.04,-1.32
2026-08-27,2026-08-27T09:20:10.246693,INOXWIND,73.8,74.15,73.69,73.8,7.7,73.8,5.6826,79.48259999999999,68.1174,False,NONE,0.11,0.1,0.01,0
2026-08-27,2026-08-27T09:20:10.246693,IOC,139.73,140.03,139.35,139.83,4.33,139.83,6.0503089999999995,145.780309,133.679691,False,NONE,0.19,-2.45,0.03,1.15
2026-08-27,2026-08-27T09:20:10.246693,IREDA,113.64,113.64,113.03,113.38,6.11,113.38,6.943404,120.583404,106.696596,False,NONE,0.19,3.15,0.1,0
2026-08-27,2026-08-27T09:20:10.246693,IRFC,86.4,86.55,86.3,86.55,5.41,86.55,4.67424,91.07424,81.72576000000001,False,NONE,0.03,-0.49,0.02,0
2026-08-27,2026-08-27T09:20:10.246693,ITC,272.8,273.1,272.1,272.8,3.41,272.8,9.302480000000001,282.10248,263.49752,False,NONE,-0.02,1.65,0.04,0
2026-08-27,2026-08-27T09:20:10.246693,JINDALSTEL,1189.0,1191.0,1186.0,1191.0,4.92,1191.0,58.4988,1247.4988,1130.5012,False,NONE,0.24,1.4,0.01,-0.93
2026-08-27,2026-08-27T09:20:10.246693,JIOFIN,243.35,243.85,243.0,243.05,5.53,243.05,13.457255,256.807255,229.892745,False,NONE,0.04,-0.52,0.03,0
