Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
ADANIENT,"3,090.4",0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,15674025,-0.21,-0.21,-0.21,-0.21,-0.21,,,,,,165006,-87.02,-87.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
AXISBANK,"1,257.6",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,81002500,0.17,0.17,0.17,0.17,0.17,,,,,,802500,-87.27,-87.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HINDUNILVR,"2,109.7",-0.47,-0.47,-0.47,-0.47,-0.47,-0.47,-0.47,-0.47,-0.47,-0.47,14865000,0.24,0.24,0.24,0.24,0.24,,,,,,128400,-87.41,-87.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
SRF,"2,658.8",0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,4521400,0.11,0.11,0.11,0.11,0.11,,,,,,28000,-88.18,-88.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HDFCBANK,752.2,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,298402650,0.22,0.22,0.22,0.22,0.22,,,,,,1684800,-88.35,-88.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
VMM,111.99,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,45396000,0.79,0.79,0.79,0.79,0.79,,,,,,955450,-88.38,-88.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
GVT&D,"4,387.5",1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2859625,0.06,0.06,0.06,0.06,0.06,,,,,,37375,-88.59,-88.59,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TATASTEEL,192.5,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,169372500,-0.12,-0.12,-0.12,-0.12,-0.12,,,,,,2398000,-88.63,-88.63,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
WAAREEENER,"2,683.3",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,7675325,-0.04,-0.04,-0.04,-0.04,-0.04,,,,,,41300,-88.87,-88.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
IDEA,13.06,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,5894471775,0.05,0.05,0.05,0.05,0.05,,,,,,14723850,-88.91,-88.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
LAURUSLABS,1822,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,16541850,0.44,0.44,0.44,0.44,0.44,,,,,,272850,-88.96,-88.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
