Symbol,Price,Price Chg %,OI,OI Chg %,PCR,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID
PNBHOUSING,1077.7,-0.72,7705750.0,0.33,,,,,,191100.0,-93.15,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.72|OI:0.33|VOL:-93.15|FUT:nan,PDNA_654BB78B
VOLTAS,1346.7,0.7,7014750.0,0.03,,,,,,48375.0,-93.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.7|OI:0.03|VOL:-93.17|FUT:nan,PDNA_47B061B2
BANKNIFTY,57925.0,0.11,2100780.0,0.05,,,,,,44820.0,-93.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.11|OI:0.05|VOL:-93.21|FUT:nan,PDNA_E015A593
BHEL,411.9,0.54,80498250.0,0.11,,,,,,414750.0,-93.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.54|OI:0.11|VOL:-93.22|FUT:nan,PDNA_DE32B13B
LODHA,1241.5,0.83,11790625.0,-0.14,,,,,,118125.0,-93.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Covering,PAT:Short Covering|SCR:|P:0.83|OI:-0.14|VOL:-93.31|FUT:nan,PDNA_1FC4DD20
RELIANCE,1310.5,-0.09,102418000.0,0.02,,,,,,391000.0,-93.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.09|OI:0.02|VOL:-93.35|FUT:nan,PDNA_9F09B98D
MAZDOCK,2396.0,0.27,5065200.0,0.01,,,,,,27450.0,-93.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.27|OI:0.01|VOL:-93.38|FUT:nan,PDNA_4D296A1F
INFY,1167.4,-1.02,88554800.0,0.25,,,,,,784800.0,-93.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,PAT:Short Buildup|SCR:|P:-1.02|OI:0.25|VOL:-93.39|FUT:nan,PDNA_5FB84D6E
PHOENIXLTD,1924.1,-0.01,3703350.0,-0.12,,,,,,26950.0,-91.72,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Long Unwinding,PAT:Long Unwinding|SCR:|P:-0.01|OI:-0.12|VOL:-91.72|FUT:nan,PDNA_EF5532FE
TCS,2451.4,-0.54,31454775.0,0.05,,,,,,230175.0,-93.44,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.54|OI:0.05|VOL:-93.44|FUT:nan,PDNA_EB0696D5
JIOFIN,265.4,0.74,184369250.0,0.24,,,,,,3132550.0,-93.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.74|OI:0.24|VOL:-93.5|FUT:nan,PDNA_B7EBD0D3
FINNIFTY,26895.9,0.14,32160.0,-0.19,,,,,,780.0,-93.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Covering,PAT:Short Covering|SCR:|P:0.14|OI:-0.19|VOL:-93.75|FUT:nan,PDNA_5627FF70
BANKBARODA,247.56,-0.07,129217725.0,0.09,,,,,,722475.0,-93.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.07|OI:0.09|VOL:-93.66|FUT:nan,PDNA_16D74437
SUPREMEIND,3556.0,0.52,2288125.0,0.08,,,,,,13300.0,-94.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.52|OI:0.08|VOL:-94.1|FUT:nan,PDNA_8FA4EE0F
NTPC,348.3,0.07,97990500.0,0.01,,,,,,189000.0,-94.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.07|OI:0.01|VOL:-94.11|FUT:nan,PDNA_7E90F4A0
PRESTIGE,1627.6,0.12,5105700.0,0.04,,,,,,35100.0,-94.15,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.12|OI:0.04|VOL:-94.15|FUT:nan,PDNA_EC9455C8
HAL,4687.8,0.32,5107050.0,0.13,,,,,,24450.0,-93.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.32|OI:0.13|VOL:-93.84|FUT:nan,PDNA_4C794A41
WIPRO,188.42,-0.49,222111000.0,0.13,,,,,,1218000.0,-94.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.49|OI:0.13|VOL:-94.17|FUT:nan,PDNA_6AE674FA
BIOCON,425.4,0.0,47822500.0,0.18,,,,,,287500.0,-94.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:0.0|OI:0.18|VOL:-94.23|FUT:nan,PDNA_5DF3CAC5
HINDPETRO,394.5,-0.13,44932725.0,0.02,,,,,,202500.0,-94.3,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.13|OI:0.02|VOL:-94.3|FUT:nan,PDNA_0C2AD09B
AUBANK,1048.5,-0.21,21980000.0,0.05,,,,,,102000.0,-94.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.21|OI:0.05|VOL:-94.39|FUT:nan,PDNA_2D35D556
FORCEMOT,18340.0,-0.96,250750.0,0.03,,,,,,4950.0,-94.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.96|OI:0.03|VOL:-94.53|FUT:nan,PDNA_E181D537
VBL,445.5,-0.37,53914650.0,0.45,,,,,,395250.0,-94.6,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.37|OI:0.45|VOL:-94.6|FUT:nan,PDNA_DA8DDD5B
HCLTECH,1366.0,-0.34,27306400.0,0.06,,,,,,119600.0,-94.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.34|OI:0.06|VOL:-94.61|FUT:nan,PDNA_5FEBB6A8
POLICYBZR,1635.0,0.15,9158100.0,0.03,,,,,,31500.0,-94.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.15|OI:0.03|VOL:-94.61|FUT:nan,PDNA_3E79C918
PNB,113.7,-0.08,289512000.0,0.02,,,,,,1224000.0,-94.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.08|OI:0.02|VOL:-94.67|FUT:nan,PDNA_5196292C
SHRIRAMFIN,1085.8,0.5,26153325.0,0.61,,,,,,358050.0,-94.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.5|OI:0.61|VOL:-94.82|FUT:nan,PDNA_84F63FD4
HDFCAMC,2580.8,-0.04,6057600.0,0.16,,,,,,35400.0,-94.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.04|OI:0.16|VOL:-94.83|FUT:nan,PDNA_07315394
ANGELONE,302.0,0.22,27722500.0,0.24,,,,,,257500.0,-94.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.22|OI:0.24|VOL:-94.84|FUT:nan,PDNA_A6EDACD3
TATAELXSI,3770.0,-0.05,2410625.0,-0.11,,,,,,21125.0,-94.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Long Unwinding,PAT:Long Unwinding|SCR:|P:-0.05|OI:-0.11|VOL:-94.93|FUT:nan,PDNA_5629B740
UNOMINDA,1215.0,-0.16,4631000.0,0.35,,,,,,64900.0,-94.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.16|OI:0.35|VOL:-94.96|FUT:nan,PDNA_7C9D9821
INDHOTEL,749.95,0.33,20803000.0,0.21,,,,,,130000.0,-94.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.33|OI:0.21|VOL:-94.97|FUT:nan,PDNA_99482F8F
JINDALSTEL,1122.0,0.36,13537500.0,0.19,,,,,,105625.0,-94.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.36|OI:0.19|VOL:-94.99|FUT:nan,PDNA_DD00B5F5
ADANIPOWER,213.52,0.35,155770450.0,0.06,,,,,,504100.0,-95.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.35|OI:0.06|VOL:-95.03|FUT:nan,PDNA_1CE7E337
TATAPOWER,382.3,-0.25,62131050.0,0.06,,,,,,160950.0,-95.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.25|OI:0.06|VOL:-95.11|FUT:nan,PDNA_416F5AAD
BANDHANBNK,173.33,0.27,132739200.0,0.06,,,,,,432000.0,-95.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.27|OI:0.06|VOL:-95.16|FUT:nan,PDNA_CD020D50
BAJFINANCE,1152.0,0.39,55613250.0,0.2,,,,,,614250.0,-95.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.39|OI:0.2|VOL:-95.19|FUT:nan,PDNA_D10AEB5C
PERSISTENT,5503.0,-0.91,3573000.0,0.23,,,,,,74875.0,-95.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.91|OI:0.23|VOL:-95.42|FUT:nan,PDNA_069F0D6C
KPITTECH,617.3,0.06,13178100.0,0.26,,,,,,213125.0,-95.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.06|OI:0.26|VOL:-95.43|FUT:nan,PDNA_3E2D8857
AUROPHARMA,1556.1,0.41,10090850.0,0.07,,,,,,52250.0,-95.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.41|OI:0.07|VOL:-95.47|FUT:nan,PDNA_6447D987
NYKAA,338.5,-0.73,44934375.0,-0.01,,,,,,771875.0,-92.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Long Unwinding,PAT:Long Unwinding|SCR:|P:-0.73|OI:-0.01|VOL:-92.01|FUT:nan,PDNA_C6C8316D
OIL,451.35,-0.25,15738800.0,0.03,,,,,,98000.0,-95.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.25|OI:0.03|VOL:-95.5|FUT:nan,PDNA_8D1F8F09
NMDC,84.48,0.88,343696500.0,0.0,,,,,,884250.0,-95.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Neutral,PAT:Neutral|SCR:|P:0.88|OI:0.0|VOL:-95.52|FUT:nan,PDNA_94A5DC5F
LTM,4625.0,-1.05,2264400.0,0.81,,,,,,70950.0,-95.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,PAT:Short Buildup|SCR:|P:-1.05|OI:0.81|VOL:-95.71|FUT:nan,PDNA_C73AE023
LT,4015.5,-0.08,11500825.0,0.06,,,,,,68950.0,-95.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.08|OI:0.06|VOL:-95.56|FUT:nan,PDNA_8D7D26F7
