Symbol,Price,Price Chg %,OI,OI Chg %,PCR,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
INFY,1167.4,-1.02,88554800.0,0.25,,,,,,784800.0,-93.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TCS,2451.4,-0.54,31454775.0,0.05,,,,,,230175.0,-93.44,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
JIOFIN,265.4,0.74,184369250.0,0.24,,,,,,3132550.0,-93.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BANKBARODA,247.56,-0.07,129217725.0,0.09,,,,,,722475.0,-93.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
FINNIFTY,26895.9,0.14,32160.0,-0.19,,,,,,780.0,-93.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HAL,4687.8,0.32,5107050.0,0.13,,,,,,24450.0,-93.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
SUPREMEIND,3556.0,0.52,2288125.0,0.08,,,,,,13300.0,-94.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NTPC,348.3,0.07,97990500.0,0.01,,,,,,189000.0,-94.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PRESTIGE,1627.6,0.12,5105700.0,0.04,,,,,,35100.0,-94.15,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
WIPRO,188.42,-0.49,222111000.0,0.13,,,,,,1218000.0,-94.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BIOCON,425.4,0.0,47822500.0,0.18,,,,,,287500.0,-94.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HINDPETRO,394.5,-0.13,44932725.0,0.02,,,,,,202500.0,-94.3,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
AUBANK,1048.5,-0.21,21980000.0,0.05,,,,,,102000.0,-94.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ABB,7689.5,1.5,2160000.0,-0.02,,,,,,103375.0,-94.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
FORCEMOT,18340.0,-0.96,250750.0,0.03,,,,,,4950.0,-94.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
VBL,445.5,-0.37,53914650.0,0.45,,,,,,395250.0,-94.6,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HCLTECH,1366.0,-0.34,27306400.0,0.06,,,,,,119600.0,-94.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
POLICYBZR,1635.0,0.15,9158100.0,0.03,,,,,,31500.0,-94.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PNB,113.7,-0.08,289512000.0,0.02,,,,,,1224000.0,-94.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
SHRIRAMFIN,1085.8,0.5,26153325.0,0.61,,,,,,358050.0,-94.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HDFCAMC,2580.8,-0.04,6057600.0,0.16,,,,,,35400.0,-94.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ANGELONE,302.0,0.22,27722500.0,0.24,,,,,,257500.0,-94.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
