trading_date,observation_timestamp,symbol,direction,open_price,current_price,opening_straddle_premium,approaching_level,breakout_level,distance_to_breakout,approach_progress_pct,matched_source_timestamp,matched_source_file,snapshot_lag_seconds,feature_atm_straddle_price,feature_atm_straddle_pct,feature_price_chg,feature_price_chg_pct,feature_iv_chg,feature_iv_chg_pct,feature_oi_chg,feature_oi_chg_pct,feature_pcr_chg,feature_pcr_chg_pct,feature_ce_oi_chg,feature_ce_oi_chg_pct,feature_pe_oi_chg,feature_pe_oi_chg_pct,feature_pe_minus_ce_oi_chg,feature_futures_oi,feature_futures_oi_chg,feature_futures_oi_chg_pct,feature_futures_buildup,feature_ivr,feature_ivp,feature_iv_hv10,feature_iv_hv20,feature_iv_hv30,feature_volume,feature_volume_chg_pct,outcome,first_later_100_timestamp,minutes_50_to_100
2026-08-12,2026-08-12 09:20:02.133933,NATIONALUM,UP,398.4,414.55,24.06336,410.43168,422.46336,7.913359999999955,67.11448442777748,2026-08-12 09:20:02.133933,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12.xlsx,0.0,25.05,6.04,7.01,7.01,9.76,9.76,3.83,3.83,24.19,24.19,-4.9,-4.9,18.63,18.63,2300,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-12,2026-08-12 09:34:47.029140,PNB,UP,114.0,117.22,4.5144,116.2572,118.5144,1.294399999999996,71.3273081694134,2026-08-12 09:34:47.029140,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,0.0,5.06,4.31,2.84,2.84,11.09,11.09,0.42,0.42,1.18,1.18,1.29,1.29,1.34,1.34,-14,,,,,,,,,,,,continued_to_100_after_50,2026-08-12 10:27:31.959841,52.74884501666667
2026-08-12,2026-08-12 09:34:47.029140,UNIONBANK,UP,181.6,186.22,8.190159999999999,185.69508,189.79016,3.570159999999987,56.40915439991411,2026-08-12 09:34:47.029140,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,0.0,8.85,4.75,2.14,2.14,6.22,6.22,0.22,0.22,1.2,1.2,-1.33,-1.33,-0.14,-0.14,105,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-12,2026-08-12 09:34:47.029140,ZYDUSLIFE,DOWN,1196.0,1160.3,50.59080000000001,1170.7046,1145.4092,14.8907999999999,70.56618990014002,2026-08-12 09:34:47.029140,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-12 (1).xlsx,0.0,47.0,4.04,-3.32,-3.32,-15.02,-15.02,-1.73,-1.73,-14.68,-14.68,-2.4,-2.4,-16.69,-16.69,-1232,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 10:24:25.977773,ADANIENSOL,DOWN,1618.9,1580.0,76.41208,1580.69396,1542.48792,37.51207999999997,50.90818101012312,2026-08-13 10:24:25.977773,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (4).xlsx,0.0,84.8,5.36,-2.03,-2.03,14.51,14.51,1.13,1.13,-11.9,-11.9,16.68,16.68,2.94,2.94,-1216,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 12:30:46.431034,APLAPOLLO,UP,2009.5,2063.1,71.1363,2045.06815,2080.6363,17.53630000000021,75.34831021574064,2026-08-13 12:30:46.431034,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (6).xlsx,0.0,74.85,3.63,2.87,2.87,2.74,2.74,3.09,3.09,7.94,7.94,-1.89,-1.89,6.67,6.67,360,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 09:18:06.016647,ASTRAL,UP,1491.0,1557.1,77.23379999999999,1529.6169,1568.2338,11.133800000000065,85.58429081567904,2026-08-13 09:18:06.016647,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (1).xlsx,0.0,80.75,5.18,6.92,6.92,-2.2,-2.2,0.82,0.82,2.9,2.9,-0.14,-0.14,1.59,1.59,89,,,,,,,,,,,,continued_to_100_after_50,2026-08-13 12:30:46.431034,192.6735731166667
2026-08-13,2026-08-13 09:20:31.104516,BAJAJHLDNG,DOWN,11703.0,11459.0,462.2685,11471.86575,11240.7315,218.26850000000013,52.783176876642045,2026-08-13 09:20:31.104516,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (2).xlsx,0.0,418.25,3.65,-0.56,-0.56,22.14,22.14,0.09,0.09,-0.88,-0.88,1.23,1.23,0.08,0.08,-12,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 10:24:25.977773,BRITANNIA,UP,5557.0,5690.0,176.7126,5645.3563,5733.7126,43.71259999999984,75.26345037082811,2026-08-13 10:24:25.977773,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (4).xlsx,0.0,169.1,2.97,1.6,1.6,-3.07,-3.07,-0.93,-0.93,6.67,6.67,-7.28,-7.28,0.44,0.44,900,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 13:58:56.288968,CONCOR,UP,516.85,535.0,22.121180000000003,527.9105900000001,538.97118,3.971180000000004,82.04806434376455,2026-08-13 13:58:56.288968,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (8).xlsx,0.0,22.9,4.28,3.78,3.78,8.16,8.16,1.65,1.65,1.82,1.82,13.72,13.72,16.88,16.88,-301,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 12:30:46.431034,FORCEMOT,DOWN,19498.0,18866.0,1113.3358,18941.3321,18384.6642,481.3358000000008,56.76634129613007,2026-08-13 12:30:46.431034,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (6).xlsx,0.0,967.95,5.13,-2.34,-2.34,-8.87,-8.87,0.13,0.13,-15.07,-15.07,10.32,10.32,-6.92,-6.92,-1173,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 09:18:06.016647,GMRAIRPORT,DOWN,106.8,103.51,5.29728,104.15136,101.50272,2.0072800000000086,62.107345656638735,2026-08-13 09:18:06.016647,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (1).xlsx,0.0,5.17,4.96,-1.33,-1.33,-8.37,-8.37,0.03,0.03,-2.47,-2.47,2.15,2.15,-0.9,-0.9,-204,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 13:58:56.288968,GODREJCP,UP,912.8,935.8,40.98472,933.29236,953.78472,17.98472000000004,56.11847537326107,2026-08-13 13:58:56.288968,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (8).xlsx,0.0,37.15,3.97,2.81,2.81,-15.05,-15.05,-1.94,-1.94,6.38,6.38,-16.7,-16.7,-11.66,-11.66,4091,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 10:24:25.977773,GVT&D,DOWN,4429.0,4294.9,244.4808,4306.7596,4184.5192,110.38079999999992,54.85093307940762,2026-08-13 10:24:25.977773,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (4).xlsx,0.0,243.9,5.68,-2.83,-2.83,1.45,1.45,2.05,2.05,-4.11,-4.11,5.87,5.87,1.97,1.97,-473,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 13:58:56.288968,HINDUNILVR,UP,2061.9,2089.6,53.40321,2088.6016050000003,2115.30321,25.703210000000126,51.86954117552075,2026-08-13 13:58:56.288968,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (8).xlsx,0.0,53.0,2.54,1.26,1.26,-2.07,-2.07,-0.1,-0.1,0.0,0.0,-2.95,-2.95,-1.38,-1.38,930,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 12:30:46.431034,LODHA,UP,1201.4,1234.1,60.79084,1231.79542,1262.19084,28.09084000000007,53.79099877547312,2026-08-13 12:30:46.431034,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (6).xlsx,0.0,62.65,5.08,2.71,2.71,1.38,1.38,0.9,0.9,0.0,0.0,2.48,2.48,3.54,3.54,2,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 13:58:56.288968,NYKAA,UP,322.3,331.6,13.47214,329.03607,335.77214000000004,4.172140000000013,69.0313491397804,2026-08-13 13:58:56.288968,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (8).xlsx,0.0,13.0,3.92,1.62,1.62,-5.59,-5.59,0.23,0.23,2.44,2.44,-3.61,-3.61,-0.03,-0.03,300,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 10:24:25.977773,OBEROIRLTY,UP,1772.1,1805.2,65.03607,1804.618035,1837.13607,31.93606999999997,50.89483420508056,2026-08-13 10:24:25.977773,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (4).xlsx,0.0,64.2,3.56,1.16,1.16,-2.01,-2.01,-0.61,-0.61,0.0,0.0,-1.5,-1.5,-0.8,-0.8,59,,,,,,,,,,,,continued_to_100_after_50,2026-08-13 12:30:46.431034,126.34088768333332
2026-08-13,2026-08-13 09:18:06.016647,PETRONET,UP,280.95,286.55,9.38373,285.641865,290.33373,3.783729999999992,59.67776140191611,2026-08-13 09:18:06.016647,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (1).xlsx,0.0,9.55,3.34,1.99,1.99,8.84,8.84,-0.14,-0.14,-0.9,-0.9,0.13,0.13,-1.45,-1.45,-95,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 13:58:56.288968,SENSEX,UP,78185.05,78401.15,359.65123,78364.875615,78544.70123,143.55123000001186,60.08598941813469,2026-08-13 13:58:56.288968,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (8).xlsx,0.0,179.8,0.23,0.08,0.08,-4.5,-4.5,3.03,3.03,-2.88,-2.88,18.93,18.93,15.63,15.63,-509,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 09:18:06.016647,SUPREMEIND,UP,3424.0,3504.4,148.6016,3498.3008,3572.6016,68.20159999999987,54.10439726086401,2026-08-13 09:18:06.016647,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (1).xlsx,0.0,150.65,4.34,1.61,1.61,27.3,27.3,0.06,0.06,0.0,0.0,-0.39,-0.39,0.11,0.11,23,,,,,,,,,,,,unresolved_no_later_100,,
2026-08-13,2026-08-13 13:58:56.288968,TATACONSUM,UP,1062.1,1088.9,37.49213,1080.846065,1099.59213,10.692129999999906,71.48166828611814,2026-08-13 13:58:56.288968,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-13\Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-13 (8).xlsx,0.0,36.3,3.33,2.61,2.61,-3.72,-3.72,0.27,0.27,8.93,8.93,-5.34,-5.34,2.78,2.78,740,,,,,,,,,,,,unresolved_no_later_100,,
