trading_date,file,feature,physical_column,available
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,ce_oi_chg_pct,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,pe_oi_chg,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,pe_oi_chg_pct,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,pe_minus_ce_oi_chg,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,futures_oi,Fut OI,True
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,futures_oi_chg,Fut OI Chg %,True
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,futures_oi_chg_pct,Fut OI Chg %,True
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,futures_buildup,Fut Buildup,True
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,ivr,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,ivp,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,iv_hv10,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,iv_hv20,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,iv_hv30,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,volume,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Support_Resistance_25AUG26_Scan_12_8_2026.xlsx,volume_chg_pct,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,atm_straddle_price,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,atm_straddle_pct,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,price_chg,Price Chg%,True
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,price_chg_pct,Price Chg%,True
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,iv_chg,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,iv_chg_pct,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,oi_chg,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,oi_chg_pct,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,pcr_chg,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,pcr_chg_pct,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,ce_oi_chg,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,ce_oi_chg_pct,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,pe_oi_chg,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,pe_oi_chg_pct,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,pe_minus_ce_oi_chg,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,futures_oi,Fut OI,True
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,futures_oi_chg,Fut OI Chg %,True
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,futures_oi_chg_pct,Fut OI Chg %,True
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,futures_buildup,Fut Buildup,True
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,ivr,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,ivp,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,iv_hv10,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,iv_hv20,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,iv_hv30,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,volume,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\Resistance_25AUG26_Scan_12_8_2026 (1).xlsx,volume_chg_pct,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\FuturesOI_25AUG26_Scan_12_8_2026.xlsx,atm_straddle_price,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\FuturesOI_25AUG26_Scan_12_8_2026.xlsx,atm_straddle_pct,,False
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\FuturesOI_25AUG26_Scan_12_8_2026.xlsx,price_chg,Price Chg%,True
2026-08-12,D:\My-data\Share_P&L\Ichart Data\Screenshot\August26\2026-08-12\FuturesOI_25AUG26_Scan_12_8_2026.xlsx,price_chg_pct,Price Chg%,True
