Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
MARICO,860.5,0.78,9423600.0,0.19,,,,,,,,,42000.0,-99.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,860.5,,
ADANIPORTS,1787.2,0.38,13620625.0,0.23,,,,,,,,,58900.0,-99.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1787.2,,
AMBUJACEM,426.7,0.05,46050000.0,0.33,,,,,,,,,229200.0,-98.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,426.7,,
TATAELXSI,3512.1,0.41,2521125.0,0.11,,,,,,,,,22750.0,-98.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3512.1,,
TITAN,4720.9,0.24,3688475.0,0.32,,,,,,,,,18200.0,-98.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4720.9,,
POWERGRID,290.25,0.35,25642400.0,0.27,,,,,,,,,127300.0,-98.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,290.25,,
FEDERALBNK,356.5,0.34,74662500.0,0.08,,,,,,,,,352500.0,-98.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,356.5,,
UNITDSPR,1489.4,0.74,6016800.0,0.39,,,,,,,,,48400.0,-98.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1489.4,,
POLYCAB,9038.0,0.79,1560000.0,0.35,,,,,,,,,9250.0,-99.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,9038.0,,
SUNPHARMA,1951.0,0.11,9681350.0,0.1,,,,,,,,,19250.0,-99.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1951.0,,
FORCEMOT,17622.0,0.42,176325.0,0.14,,,,,,,,,700.0,-99.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,17622.0,,
TORNTPHARM,4935.2,0.51,3736875.0,0.08,,,,,,,,,6625.0,-99.6,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4935.2,,
BAJAJFINSV,1898.6,0.78,5959500.0,0.14,,,,,,,,,17100.0,-99.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1898.6,,
PAGEIND,40340.0,0.05,183740.0,0.13,,,,,,,,,540.0,-99.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,40340.0,,
PIIND,2721.6,0.9,2264325.0,0.15,,,,,,,,,8225.0,-99.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2721.6,,
COCHINSHIP,1390.8,0.54,3876400.0,0.1,,,,,,,,,11600.0,-99.54,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1390.8,,
BLUESTARCO,1646.1,0.83,2484950.0,0.13,,,,,,,,,7800.0,-99.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1646.1,,
AMBER,7270.5,0.46,919200.0,0.29,,,,,,,,,4500.0,-99.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,7270.5,,
INDUSTOWER,398.1,0.53,59904600.0,0.13,,,,,,,,,113900.0,-99.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,398.1,,
SUPREMEIND,3507.0,0.68,1569400.0,0.23,,,,,,,,,4025.0,-99.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3507.0,,
