Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Price,Price Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg %
DALBHARAT,5.45,1814.4,1820.5,1814.4,1820.3,11.4,0.63,-,-,0.0,0.0,-0.01,-1.16,3.0,0.25,-1.0,-0.1,-4,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELHIVERY,7.48,488.0,488.0,481.5,482.9,0.6,0.12,2.21,6.14,40.0,0.31,-0.02,-2.67,151.0,2.53,29.0,0.65,-122,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,5.74,8380.0,8380.0,8123.5,8212.0,127,1.57,-2.36,-7.43,1803.0,5.06,-0.12,-13.19,3094.0,24.66,914.0,8.03,-2180,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIXON,7.29,13650.0,13650.0,13312.0,13501.0,-315,-2.28,-2.55,-6.43,616.0,1.25,-0.04,-6.25,2785.0,9.86,331.0,1.82,-2454,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,6.98,665.85,668.0,662.8,663.95,3.2,0.48,1.21,3.53,52.0,0.11,0.02,2.74,-59.0,-0.73,79.0,1.34,138,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMART,4.85,3945.0,3949.4,3927.9,3933.4,9.8,0.25,1,4.19,37.0,0.11,-0.01,-1.35,69.0,0.64,17.0,0.21,-52,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,4.08,1166.2,1178.0,1163.3,1170.0,21.5,1.87,1.62,8.49,-80.0,-0.36,0.03,5.0,-522.0,-2.93,170.0,1.58,692,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,4.5,7890.5,7937.0,7871.5,7937.0,77,0.98,0.33,1.46,158.0,0.4,0.02,2.56,-339.0,-1.59,11.0,0.07,350,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETERNAL,6.41,305.8,307.5,304.3,306.5,2.4,0.79,1.59,5.1,66.0,0.1,0.0,0.0,66.0,0.31,65.0,0.49,-1,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERALBNK,4.03,359.9,360.9,358.2,359.0,0.1,0.03,0.94,4.9,10.0,0.03,0.0,0.0,22.0,0.4,2.0,0.04,-20,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINNIFTY,2.55,26790.0,26882.3,26784.6,26865.0,186.4,0.7,-0.61,-4.5,2.0,0.38,0.08,10.81,-201.0,-5.57,110.0,4.11,311,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOCIT,4.99,37350.0,37350.0,36396.0,37050.0,0,0,8.08,35.08,0.0,0.0,0.0,0.0,5.0,0.56,0.0,0.0,-,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORCEMOT,7.53,18436.0,18523.0,18205.0,18409.0,419,2.33,-2.29,-5.8,2.0,0.02,0.01,1.19,-102.0,-2.18,-37.0,-0.95,65,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTIS,5.61,956.75,956.75,947.75,950.05,0.5,0.05,1.95,7.26,9.0,0.08,-0.01,-0.69,7.0,0.44,-2.0,-0.09,-9,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAIL,5.37,182.29,182.78,174.52,175.15,-7.27,-3.99,1.2,4.57,1151.0,4.81,-0.07,-13.73,2642.0,19.39,109.0,1.56,-2533,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENMARK,6.12,2254.8,2254.8,2211.0,2217.0,-24.6,-1.1,0.5,1.61,355.0,1.16,-0.07,-9.72,434.0,9.43,-23.0,-0.7,-457,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMRAIRPORT,7.03,107.1,107.3,106.7,106.76,0.95,0.9,1,3.11,11.0,0.06,0.0,0.0,-10.0,-0.21,3.0,0.06,13,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
