Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
FEDERALBNK,358.1,-0.25,-0.25,-0.25,-0.25,-0.25,87022500,2.22,2.22,,,,,,,,,4365000,-15.53,-15.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
SWIGGY,272.75,-0.62,-0.62,-0.62,-0.62,-0.62,73177025,-0.04,-0.04,,,,,,,,,10324025,-16.17,-16.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
ICICIPRULI,496.7,-0.91,-0.91,-0.91,-0.91,-0.91,17389075,0.13,0.13,,,,,,,,,1599325,-18.17,-18.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
SHREECEM,24385,-1.2,-1.2,-1.2,-1.2,-1.2,359550,0.2,0.2,,,,,,,,,27675,-18.9,-18.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
NAUKRI,"1,360.7",0.57,0.57,0.57,0.57,0.57,14061850,5.2,5.2,,,,,,,,,1189650,-19.02,-19.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
GMRAIRPORT,101.46,-0.49,-0.49,-0.49,-0.49,-0.49,132894675,0.47,0.47,,,,,,,,,6947100,-19.16,-19.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
BANKINDIA,142.1,-0.32,-0.32,-0.32,-0.32,-0.32,84032000,-0.04,-0.04,,,,,,,,,2771600,-19.61,-19.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
SUPREMEIND,3611,0.26,0.26,0.26,0.26,0.26,2409925,3.99,3.99,,,,,,,,,174475,-20.18,-20.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
IEX,123.39,-0.26,-0.26,-0.26,-0.26,-0.26,71822850,-0.1,-0.1,,,,,,,,,2496900,-20.28,-20.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
IREDA,114.2,0.18,0.18,0.18,0.18,0.18,87640200,0.74,0.74,,,,,,,,,6651750,-20.41,-20.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
ADANIENSOL,1552,-3.28,-3.28,-3.28,-3.28,-3.28,19217250,0.36,0.36,,,,,,,,,1084725,-20.72,-20.72,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
SBIN,"1,050.1",-0.4,-0.4,-0.4,-0.4,-0.4,75606750,0.02,0.02,,,,,,,,,4478250,-21.13,-21.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
CUMMINSIND,5268,-2.23,-2.23,-2.23,-2.23,-2.23,4559800,0.43,0.43,,,,,,,,,131000,-24.28,-24.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
KFINTECH,939.35,-0.9,-0.9,-0.9,-0.9,-0.9,5210650,1.27,1.27,,,,,,,,,1111475,-24.73,-24.73,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
BANDHANBNK,168.56,-1.63,-1.63,-1.63,-1.63,-1.63,126817200,-0.1,-0.1,,,,,,,,,925200,-25.29,-25.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
ZYDUSLIFE,"1,123.8",0.36,0.36,0.36,0.36,0.36,10825200,-0.75,-0.75,,,,,,,,,661500,-25.3,-25.3,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
SIEMENS,"3,906.1",-1.24,-1.24,-1.24,-1.24,-1.24,3336025,-0.42,-0.42,,,,,,,,,123375,-25.32,-25.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
HINDZINC,552.8,-1.06,-1.06,-1.06,-1.06,-1.06,25892825,0.04,0.04,,,,,,,,,1750525,-25.61,-25.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
LICI,413.2,0.57,0.57,0.57,0.57,0.57,50225000,-0.7,-0.7,,,,,,,,,649600,-25.64,-25.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
NESTLEIND,"1,470.1",0.38,0.38,0.38,0.38,0.38,7753500,0.56,0.56,,,,,,,,,474000,-26.57,-26.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
UNOMINDA,"1,279.9",0.16,0.16,0.16,0.16,0.16,5735400,0.1,0.1,,,,,,,,,309650,-26.98,-26.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
POLICYBZR,"1,775.5",1.34,1.34,1.34,1.34,1.34,8055250,2.09,2.09,,,,,,,,,638750,-29.45,-29.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
LAURUSLABS,"1,794.6",-1.18,-1.18,-1.18,-1.18,-1.18,15266850,0.21,0.21,,,,,,,,,1337050,-29.46,-29.46,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
AUBANK,1070,-0.55,-0.55,-0.55,-0.55,-0.55,20861000,5.28,5.28,,,,,,,,,1639000,-30.14,-30.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
LTM,"4,548.9",-0.84,-0.84,-0.84,-0.84,-0.84,3167250,2.4,2.4,,,,,,,,,406050,-30.27,-30.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
NYKAA,324.7,0.87,0.87,0.87,0.87,0.87,48306250,-0.1,-0.1,,,,,,,,,1628125,-30.81,-30.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
MOTILALOFS,942.4,0.03,0.03,0.03,0.03,0.03,6255025,-0.53,-0.53,,,,,,,,,982700,-31.86,-31.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
VEDL,262.85,-1,-1,-1,-1,-1,59226150,1.38,1.38,,,,,,,,,2837050,-32.36,-32.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
ADANIENT,"2,986.1",-0.83,-0.83,-0.83,-0.83,-0.83,15334434,0.07,0.07,,,,,,,,,535497,-32.88,-32.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
PNBHOUSING,"1,155.6",1,1,1,1,1,7986550,-0.22,-0.22,,,,,,,,,378300,-32.95,-32.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
TITAN,"5,060.4",-0.05,-0.05,-0.05,-0.05,-0.05,4721500,-0.56,-0.56,,,,,,,,,197225,-33.08,-33.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
GRASIM,"3,244.3",-0.88,-0.88,-0.88,-0.88,-0.88,10864500,0.82,0.82,,,,,,,,,886750,-33.18,-33.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
SBILIFE,"1,763.7",-0.94,-0.94,-0.94,-0.94,-0.94,5883000,1.1,1.1,,,,,,,,,232125,-33.37,-33.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
GODREJPROP,"1,991.5",-1.03,-1.03,-1.03,-1.03,-1.03,8523775,1.87,1.87,,,,,,,,,525525,-33.73,-33.73,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
ETERNAL,318.3,0.36,0.36,0.36,0.36,0.36,140994350,0.36,0.36,,,,,,,,,6770600,-35.27,-35.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
