symbol,source_timestamp,file,High,Low,Close,Price Chg,Price Chg %
RELIANCE,2026-09-18 09:50:17,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_095017.xlsx,1250.6,1244.5,1246.1,-1.3,-0.1
HDFCBANK,2026-09-18 09:50:17,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_095017.xlsx,722.8,716.7,720.65,5.1,0.71
INFY,2026-09-18 09:50:17,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_095017.xlsx,1065.2,1041.4,1042.1,-23.5,-2.21
TCS,2026-09-18 09:50:17,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_095017.xlsx,2178.9,2111.2,2130.3,-61.2,-2.79
RELIANCE,2026-09-18 09:58:06,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_095806.xlsx,1250.6,1244.5,1244.6,-2.8,-0.22
HDFCBANK,2026-09-18 09:58:06,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_095806.xlsx,722.8,716.7,721.45,5.9,0.82
INFY,2026-09-18 09:58:06,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_095806.xlsx,1065.2,1041.4,1047.0,-18.6,-1.75
TCS,2026-09-18 09:58:06,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_095806.xlsx,2178.9,2111.2,2136.1,-55.4,-2.53
RELIANCE,2026-09-18 10:03:16,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_100316.xlsx,1250.6,1244.5,1246.6,-0.8,-0.06
HDFCBANK,2026-09-18 10:03:16,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_100316.xlsx,723.85,716.7,723.05,7.5,1.05
INFY,2026-09-18 10:03:16,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_100316.xlsx,1065.2,1041.4,1048.5,-17.1,-1.6
TCS,2026-09-18 10:03:16,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_100316.xlsx,2178.9,2111.2,2137.4,-54.1,-2.47
RELIANCE,2026-09-18 10:08:26,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_100826.xlsx,1250.6,1244.5,1244.8,-2.6,-0.21
HDFCBANK,2026-09-18 10:08:26,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_100826.xlsx,724.2,716.7,722.7,7.15,1.0
INFY,2026-09-18 10:08:26,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_100826.xlsx,1065.2,1041.4,1048.6,-17.0,-1.6
TCS,2026-09-18 10:08:26,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_100826.xlsx,2178.9,2111.2,2133.7,-57.8,-2.64
RELIANCE,2026-09-18 10:16:17,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_101617.xlsx,1250.6,1243.3,1245.2,-2.2,-0.18
HDFCBANK,2026-09-18 10:16:17,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_101617.xlsx,724.2,716.7,723.45,7.9,1.1
INFY,2026-09-18 10:16:17,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_101617.xlsx,1065.2,1041.4,1049.9,-15.7,-1.47
TCS,2026-09-18 10:16:17,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_101617.xlsx,2178.9,2111.2,2140.3,-51.2,-2.34
RELIANCE,2026-09-18 10:21:26,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_102126.xlsx,1250.6,1243.3,1245.3,-2.1,-0.17
HDFCBANK,2026-09-18 10:21:26,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_102126.xlsx,724.2,716.7,722.5,6.95,0.97
INFY,2026-09-18 10:21:26,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_102126.xlsx,1065.2,1041.4,1048.6,-17.0,-1.6
TCS,2026-09-18 10:21:26,Daywise_Price_and_OI_Summary_29SEP26_Report_2026-09-18_20260918_102126.xlsx,2178.9,2111.2,2139.2,-52.3,-2.39
