Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
EICHERMOT,"7,848.5",0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,3949400,0.13,0.13,0.13,0.13,0.13,,,,,,,,,32100,-93.66,-93.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
360ONE,"1,130.3",-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,4349000,0.47,0.47,0.47,0.47,0.47,,,,,,,,,63000,-93.71,-93.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
CGPOWER,836.5,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,18374450,1.02,1.02,1.02,1.02,1.02,,,,,,,,,535500,-93.76,-93.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
MPHASIS,"2,446.7",1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,4217125,0.42,0.42,0.42,0.42,0.42,,,,,,,,,89925,-93.94,-93.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
BHARTIARTL,1935,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,58239275,-0.09,-0.09,-0.09,-0.09,-0.09,,,,,,,,,284525,-94.07,-94.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
HINDPETRO,394.95,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,41423400,0.24,0.24,0.24,0.24,0.24,,,,,,,,,562950,-94.07,-94.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
MANKIND,2640,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,2680000,0.48,0.48,0.48,0.48,0.48,,,,,,,,,40250,-94.53,-94.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
ICICIBANK,"1,431.8",0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,107559200,0.06,0.06,0.06,0.06,0.06,,,,,,,,,1183700,-94.6,-94.6,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
INDIGO,5254,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,5701950,0.18,0.18,0.18,0.18,0.18,,,,,,,,,43200,-94.76,-94.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
KFINTECH,955.95,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,3974400,1.77,1.77,1.77,1.77,1.77,,,,,,,,,180550,-94.81,-94.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
