Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %
ABB,7241.5,-0.46,2055000.0,0.48,,,,,,,,,22125.0,-96.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,7241.5,7386.33,6951.84,True,Eligible,7482.0,7113.5,7340.5,STOP LOSS HIT,Stop loss breached during replay range,7386.33,-144.82999999999993,-1.9999999999999991
POWERINDIA,31120.0,-0.42,516700.0,0.49,,,,,,,,,6350.0,-96.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,31120.0,31742.4,29875.2,True,Eligible,32120.0,30700.0,31860.0,STOP LOSS HIT,Stop loss breached during replay range,31742.4,-622.4000000000015,-2.0000000000000044
ASIANPAINT,2740.0,-0.53,7520500.0,0.3,,,,,,,,,78500.0,-95.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,2740.0,2794.8,2630.4,True,Eligible,2879.8,2734.0,2770.0,STOP LOSS HIT,Stop loss breached during replay range,2794.8,-54.80000000000018,-2.0000000000000067
POWERGRID,285.55,-0.21,42185700.0,0.16,,,,,,,,,345800.0,-95.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,285.55,291.261,274.128,True,Eligible,285.85,282.2,283.7,EOD EXIT,Neither target nor stop reached; exited at close,283.7,1.8500000000000227,0.6478725267028621
AXISBANK,1229.9,-0.09,77836250.0,0.19,,,,,,,,,414375.0,-95.62,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1229.9,1254.498,1180.704,True,Eligible,1242.3,1222.3,1240.0,EOD EXIT,Neither target nor stop reached; exited at close,1240.0,-10.099999999999909,-0.8212049760143025
ASHOKLEY,158.3,-0.16,146680000.0,0.54,,,,,,,,,1885000.0,-96.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,158.3,161.466,151.96800000000002,True,Eligible,160.01,157.5,158.64,EOD EXIT,Neither target nor stop reached; exited at close,158.64,-0.339999999999975,-0.21478205938090647
IOC,139.75,-0.73,144719250.0,0.04,,,,,,,,,770250.0,-95.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,139.75,142.54500000000002,134.16,True,Eligible,141.45,139.11,139.7,EOD EXIT,Neither target nor stop reached; exited at close,139.7,0.05000000000001137,0.03577817531306717
MARICO,880.4,-0.49,14198400.0,1.68,,,,,,,,,410400.0,-93.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,880.4,898.008,845.184,True,Eligible,885.5,872.6,879.5,EOD EXIT,Neither target nor stop reached; exited at close,879.5,0.8999999999999773,0.10222626079054717
KFINTECH,955.95,-0.73,3974400.0,1.77,,,,,,,,,180550.0,-94.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,955.95,975.069,917.712,True,Eligible,975.0,945.95,949.7,EOD EXIT,Neither target nor stop reached; exited at close,949.7,6.25,0.6537998849312202
INDIGO,5254.0,-0.7,5701950.0,0.18,,,,,,,,,43200.0,-94.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,5254.0,5359.08,5043.84,True,Eligible,5315.5,5222.5,5294.0,EOD EXIT,Neither target nor stop reached; exited at close,5294.0,-40.0,-0.7613247049866768
BPCL,318.8,-0.9,38153050.0,0.37,,,,,,,,,436475.0,-93.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,318.8,325.17600000000004,306.048,True,Eligible,322.0,317.6,319.3,EOD EXIT,Neither target nor stop reached; exited at close,319.3,-0.5,-0.15683814303638646
PHOENIXLTD,1946.1,-4.45,3426500.0,2.21,,,,,,,,,273700.0,-58.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1946.1,1985.022,1868.256,True,Eligible,2000.0,1901.7,1912.4,STOP LOSS HIT,Stop loss breached during replay range,1985.022,-38.922000000000025,-2.0000000000000013
CAMS,799.05,-0.46,6558750.0,0.39,,,,,,,,,66000.0,-97.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,799.05,815.031,767.088,True,Eligible,804.3,789.45,794.25,EOD EXIT,Neither target nor stop reached; exited at close,794.25,4.7999999999999545,0.6007133470996753
DRREDDY,1140.2,-0.03,13639375.0,0.24,,,,,,,,,109375.0,-96.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1140.2,1163.004,1094.592,True,Eligible,1151.0,1132.6,1144.7,EOD EXIT,Neither target nor stop reached; exited at close,1144.7,-4.5,-0.394667602175057
PRESTIGE,1684.4,-0.44,5021550.0,0.29,,,,,,,,,40050.0,-97.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1684.4,1718.0880000000002,1617.024,True,Eligible,1702.4,1664.0,1675.5,EOD EXIT,Neither target nor stop reached; exited at close,1675.5,8.900000000000091,0.5283780574685402
GVT&D,4116.4,-0.45,2645250.0,0.22,,,,,,,,,22125.0,-98.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,4116.4,4198.728,3951.744,True,Eligible,4169.9,4054.9,4118.0,EOD EXIT,Neither target nor stop reached; exited at close,4118.0,-1.6000000000003638,-0.038868914585569035
COLPAL,2143.6,-0.34,4257550.0,0.1,,,,,,,,,22275.0,-98.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,2143.6,2186.472,2057.856,True,Eligible,2221.6,2102.7,2176.1,STOP LOSS HIT,Stop loss breached during replay range,2186.472,-42.8720000000003,-2.0000000000000138
NATIONALUM,335.4,-0.27,43614375.0,0.18,,,,,,,,,255000.0,-98.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,335.4,342.108,321.984,True,Eligible,348.0,334.3,347.05,STOP LOSS HIT,Stop loss breached during replay range,342.108,-6.708000000000027,-2.000000000000008
MUTHOOTFIN,3021.0,-0.41,6771600.0,0.19,,,,,,,,,36300.0,-97.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,3021.0,3081.42,2900.16,True,Eligible,3058.3,3010.0,3036.1,EOD EXIT,Neither target nor stop reached; exited at close,3036.1,-15.099999999999909,-0.4998344918900996
IDFCFIRSTB,85.91,-0.06,355584950.0,0.06,,,,,,,,,2151800.0,-97.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,85.91,87.62819999999999,82.47359999999999,True,Eligible,86.5,84.8,85.05,EOD EXIT,Neither target nor stop reached; exited at close,85.05,0.8599999999999994,1.0010476079618198
TITAN,4851.4,-0.31,5810700.0,0.04,,,,,,,,,48650.0,-97.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,4851.4,4948.428,4657.343999999999,True,Eligible,4873.0,4833.0,4862.5,EOD EXIT,Neither target nor stop reached; exited at close,4862.5,-11.100000000000364,-0.22879993403966617
GAIL,175.26,-0.58,77517800.0,0.46,,,,,,,,,621250.0,-97.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,175.26,178.7652,168.2496,True,Eligible,177.65,174.53,176.15,EOD EXIT,Neither target nor stop reached; exited at close,176.15,-0.8900000000000148,-0.5078169576629094
COALINDIA,405.75,-0.38,74035350.0,0.1,,,,,,,,,338850.0,-98.62,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,405.75,413.865,389.52,True,Eligible,409.85,403.35,407.05,EOD EXIT,Neither target nor stop reached; exited at close,407.05,-1.3000000000000114,-0.3203943314849073
IEX,132.85,-0.02,70635300.0,0.02,,,,,,,,,382800.0,-98.73,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,132.85,135.507,127.536,True,Eligible,135.72,132.5,135.19,STOP LOSS HIT,Stop loss breached during replay range,135.507,-2.6570000000000107,-2.000000000000008
DMART,3820.2,-0.47,5151000.0,0.35,,,,,,,,,53550.0,-98.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,3820.2,3896.604,3667.392,True,Eligible,3868.0,3810.0,3852.9,EOD EXIT,Neither target nor stop reached; exited at close,3852.9,-32.70000000000027,-0.8559761269043578
TRENT,2930.3,-0.29,11288925.0,0.06,,,,,,,,,18675.0,-98.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,2930.3,2988.9060000000004,2813.088,True,Eligible,3017.0,2920.7,3013.0,STOP LOSS HIT,Stop loss breached during replay range,2988.9060000000004,-58.60600000000022,-2.000000000000007
SBICARD,656.0,-0.24,21728000.0,0.1,,,,,,,,,95200.0,-98.3,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,656.0,669.12,629.76,True,Eligible,662.85,652.65,660.2,EOD EXIT,Neither target nor stop reached; exited at close,660.2,-4.2000000000000455,-0.6402439024390313
GMRAIRPORT,108.5,-0.09,125898750.0,0.02,,,,,,,,,369675.0,-98.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,108.5,110.67,104.16,True,Eligible,108.94,106.9,107.67,EOD EXIT,Neither target nor stop reached; exited at close,107.67,0.8299999999999983,0.764976958525344
PETRONET,277.7,-0.56,31179000.0,0.05,,,,,,,,,96900.0,-98.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,277.7,283.254,266.592,True,Eligible,279.95,275.7,278.15,EOD EXIT,Neither target nor stop reached; exited at close,278.15,-0.44999999999998863,-0.16204537270435312
PAGEIND,40430.0,-0.17,245900.0,0.02,,,,,,,,,580.0,-99.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,40430.0,41238.6,38812.8,True,Eligible,40600.0,39775.0,40215.0,EOD EXIT,Neither target nor stop reached; exited at close,40215.0,215.0,0.5317833292109819
FOCIT,37190.0,1.11,6930.0,1.99,,,,,,,,,675.0,-46.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,37190.0,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
LT,3965.0,2.95,12765375.0,0.78,,,,,,,,,1021475.0,-74.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3965.0,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
CHOLAFIN,1825.9,3.6,13131250.0,1.6,,,,,,,,,1251250.0,-86.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1825.9,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
BAJFINANCE,1067.2,1.04,65808750.0,0.14,,,,,,,,,775500.0,-92.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1067.2,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
RADICO,4375.0,1.4,847500.0,1.0,,,,,,,,,180900.0,-88.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4375.0,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
TVSMOTOR,4062.2,1.38,11707500.0,0.45,,,,,,,,,155750.0,-88.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4062.2,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
COFORGE,1721.3,1.88,15388575.0,0.56,,,,,,,,,934325.0,-93.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1721.3,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
TECHM,1653.0,1.31,17665800.0,0.54,,,,,,,,,376800.0,-92.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1653.0,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
INFY,1141.0,2.81,96819600.0,0.61,,,,,,,,,3236400.0,-91.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1141.0,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
LTM,4415.4,1.81,2935800.0,0.8,,,,,,,,,91350.0,-93.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4415.4,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
HDFCBANK,747.7,1.03,298480000.0,0.01,,,,,,,,,2093650.0,-95.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,747.7,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
TCS,2439.0,1.4,34258500.0,0.22,,,,,,,,,682200.0,-92.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2439.0,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
BHARATFORG,2197.0,1.01,7433500.0,0.34,,,,,,,,,52000.0,-95.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2197.0,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
M&M,3326.3,1.2,15526600.0,0.27,,,,,,,,,158600.0,-95.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3326.3,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
PERSISTENT,5522.6,1.42,3586750.0,0.71,,,,,,,,,61250.0,-93.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,5522.6,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
MPHASIS,2446.7,1.01,4217125.0,0.42,,,,,,,,,89925.0,-93.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2446.7,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
DIVISLAB,7535.0,1.06,3605900.0,0.36,,,,,,,,,37200.0,-93.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,7535.0,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
TATACONSUM,1100.0,1.01,15451700.0,0.01,,,,,,,,,30800.0,-99.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1100.0,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
IDEA,13.17,1.07,5926849950.0,0.01,,,,,,,,,8862900.0,-99.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,13.17,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
INOXWIND,77.69,1.81,105587200.0,0.2,,,,,,,,,1376000.0,-96.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,77.69,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
KAYNES,3293.6,1.61,3673050.0,0.04,,,,,,,,,43500.0,-95.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3293.6,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
MCX,2751.7,1.16,6950250.0,0.07,,,,,,,,,75825.0,-96.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2751.7,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
LTF,310.35,0.32,51693750.0,0.46,,,,,,,,,850500.0,-93.44,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,310.35,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
ICICIPRULI,514.25,0.3,19414825.0,0.22,,,,,,,,,130425.0,-93.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,514.25,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
BANKBARODA,242.45,0.96,131227200.0,0.14,,,,,,,,,1374750.0,-95.44,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,242.45,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
LODHA,1229.4,0.62,13763750.0,0.39,,,,,,,,,313750.0,-95.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1229.4,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
EICHERMOT,7848.5,0.82,3949400.0,0.13,,,,,,,,,32100.0,-93.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,7848.5,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
TMPV,329.9,1.13,78694400.0,0.07,,,,,,,,,638400.0,-97.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,329.9,,,False,Non actionable signal,,,,FILTERED,Non actionable signal,,0.0,0.0
