Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg %,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI chg,OI Chg (Value),Volume,Volume Chg %
BANDHANBNK,8.16,169.42,169.42,168.0,168.05,-0.16,-0.1,-0.43,-1.15,143,0.41,-0.01,-1.85,481,2.85,200.0,2.21,-281,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKBARODA,5.86,241.0,242.8,240.2,242.25,2.1,0.87,-0.41,-1.51,128,0.29,0.01,0.99,211,2,332.0,3.1,121,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKEX,0.92,64792.3,64878.5,64724.6,64878.5,-,-,3.25,19.84,0,0.0,-0.01,-1.27,2896,81.12,2225.0,79.04,-671,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,6.68,137.2,137.78,136.9,137.35,0.64,0.47,-1.49,-4.65,78,0.41,-0.03,-3.61,304,6.1,102.0,2.48,-202,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKNIFTY,3.07,57333.0,57333.0,57151.4,57173.0,164,0.29,0.05,0.36,76,0.11,-0.01,-1.15,20497,7.02,15261.0,6.0,-5236,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDL,8.64,1230.0,1236.7,1222.6,1224.0,-2.4,-0.2,-1.2,-2.93,125,0.75,-0.05,-5.38,221,5.6,24.0,0.66,-197,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,5.51,390.1,391.55,385.35,387.3,-2.6,-0.67,-0.77,-2.98,885,1.27,-0.04,-6.15,2540,8.73,682.0,3.63,-1858,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,6.96,2193.5,2197.0,2174.0,2174.0,-1,-0.05,-0.36,-1.13,78,0.53,-0.08,-8.51,200,9.76,-1.0,-0.05,-201,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARTIARTL,4.13,1926.0,1945.0,1922.8,1939.6,25.4,1.33,0.37,1.99,-123,-0.1,0.01,1.18,162,1.72,264.0,3.31,102,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHEL,7.26,408.05,410.5,404.8,405.05,-2.45,-0.6,0.07,0.21,137,0.44,-0.01,-1.69,274,3.25,104.0,2.1,-170,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
