Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %,Win
FINNIFTY,25850.0,-194.6,26940.0,1.35,,,,,,,,,1140.0,-88.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,25850.0,26367.0,24816.0,True,Eligible,26182.5,25899.9,26082.0,EOD EXIT,Neither target nor stop reached; exited at close,26082.0,-232.0,-0.897485493230174,False
KPITTECH,550.25,-2.35,10357100.0,-1.76,,,,,,,,,764150.0,-87.71,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,550.25,561.255,528.24,True,Eligible,575.45,534.3,571.65,STOP LOSS HIT,Stop loss breached during replay range,561.255,-11.004999999999995,-1.9999999999999991,False
PFC,409.85,-0.25,41952300.0,-0.16,,,,,,,,,1138800.0,-88.74,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,409.85,418.047,393.456,True,Eligible,411.85,401.8,409.5,EOD EXIT,Neither target nor stop reached; exited at close,409.5,0.3500000000000227,0.0853970964987245,False
MARUTI,13226.0,-157.0,1626100.0,0.36,,,,,,,,,67450.0,-88.77,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,13226.0,13490.52,12696.96,True,Eligible,13444.0,13059.0,13377.0,EOD EXIT,Neither target nor stop reached; exited at close,13377.0,-151.0,-1.141690609405716,False
WAAREEENER,2690.5,-26.4,4897900.0,-1.14,,,,,,,,,295750.0,-88.78,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,2690.5,2744.31,2582.88,True,Eligible,2702.1,2648.7,2684.6,EOD EXIT,Neither target nor stop reached; exited at close,2684.6,5.900000000000091,0.2192900947779257,False
JIOFIN,231.77,-1.28,99722250.0,-0.7,,,,,,,,,3414550.0,-88.59,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,231.77,236.4054,222.4992,True,Eligible,236.45,231.11,235.54,STOP LOSS HIT,Stop loss breached during replay range,236.4054,-4.635399999999976,-1.9999999999999891,False
BEL,403.85,-1.05,68425650.0,1.07,,,,,,,,,2376900.0,-88.53,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,403.85,411.927,387.696,True,Eligible,408.6,403.15,407.35,EOD EXIT,Neither target nor stop reached; exited at close,407.35,-3.5,-0.866658412777021,False
YESBANK,22.77,-0.14,899101000.0,0.36,,,,,,,,,22951800.0,-88.82,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,22.77,23.2254,21.8592,True,Eligible,23.14,22.77,23.09,EOD EXIT,Neither target nor stop reached; exited at close,23.09,-0.3200000000000003,-1.4053579270970589,False
HINDZINC,525.7,-5.75,21780500.0,-0.07,,,,,,,,,656600.0,-89.16,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,525.7,536.214,504.672,True,Eligible,536.55,525.85,534.7,STOP LOSS HIT,Stop loss breached during replay range,536.214,-10.51400000000001,-2.0000000000000018,False
BLUESTARCO,1614.5,-24.6,2081625.0,0.23,,,,,,,,,120900.0,-89.11,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1614.5,1646.79,1549.9199999999998,True,Eligible,1646.7,1601.6,1632.5,EOD EXIT,Neither target nor stop reached; exited at close,1632.5,-18.0,-1.1148962527098172,False
POLICYBZR,1512.3,-16.4,8927450.0,-0.01,,,,,,,,,255150.0,-89.19,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,1512.3,1542.546,1451.808,True,Eligible,1557.2,1512.2,1546.4,STOP LOSS HIT,Stop loss breached during replay range,1542.546,-30.24600000000009,-2.000000000000006,False
GODFRYPHLP,2039.8,-5.0,1295800.0,-1.36,,,,,,,,,70675.0,-89.2,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,2039.8,2080.596,1958.208,True,Eligible,2110.0,1990.4,2100.7,STOP LOSS HIT,Stop loss breached during replay range,2080.596,-40.79600000000005,-2.0000000000000027,False
LUPIN,2383.5,-16.1,3680075.0,1.43,,,,,,,,,247775.0,-89.28,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,2383.5,2431.17,2288.16,True,Eligible,2399.8,2350.1,2384.8,EOD EXIT,Neither target nor stop reached; exited at close,2384.8,-1.300000000000182,-0.0545416404447317,False
ULTRACEMCO,11744.0,-150.0,1113800.0,1.26,,,,,,,,,76150.0,-88.65,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,11744.0,11978.88,11274.24,True,Eligible,11919.0,11682.0,11892.0,EOD EXIT,Neither target nor stop reached; exited at close,11892.0,-148.0,-1.2602179836512262,False
RVNL,223.51,-1.04,27937525.0,-1.66,,,,,,,,,1289750.0,-86.73,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,223.51,227.9802,214.5696,True,Eligible,223.72,218.03,222.05,EOD EXIT,Neither target nor stop reached; exited at close,222.05,1.4599999999999795,0.6532146212697327,False
DELHIVERY,464.0,-1.7,18328475.0,-0.16,,,,,,,,,786425.0,-86.7,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,464.0,473.28,445.44,True,Eligible,469.0,460.95,464.5,EOD EXIT,Neither target nor stop reached; exited at close,464.5,-0.5,-0.1077586206896551,False
ABCAPITAL,385.85,-6.35,24682200.0,0.54,,,,,,,,,1670900.0,-86.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,385.85,393.567,370.416,True,Eligible,397.15,386.0,395.65,STOP LOSS HIT,Stop loss breached during replay range,393.567,-7.716999999999984,-1.999999999999996,False
RBLBANK,351.05,-3.05,35518725.0,-0.84,,,,,,,,,1651000.0,-86.41,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,351.05,358.071,337.008,True,Eligible,356.75,349.95,355.0,EOD EXIT,Neither target nor stop reached; exited at close,355.0,-3.9499999999999886,-1.1251958410482803,False
