Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
PNBHOUSING,"1,064.4",-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,4885400,-0.46,-0.46,-0.46,-0.46,-0.46,,,,,,,,,142350,-94.36,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
CUMMINSIND,5581,-14.5,-14.5,-14.5,-14.5,-14.5,-14.5,-14.5,-14.5,-14.5,-14.5,-14.5,3159800,0.51,0.51,0.51,0.51,0.51,,,,,,,,,71200,-94.39,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ITC,281.35,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,94057350,0.17,0.17,0.17,0.17,0.17,,,,,,,,,1995825,-94.42,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ONGC,250.8,-1.35,-1.35,-1.35,-1.35,-1.35,-1.35,-1.35,-1.35,-1.35,-1.35,-1.35,67032000,-0.05,-0.05,-0.05,-0.05,-0.05,,,,,,,,,1019250,-94.5,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MARICO,851.75,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,7627200,0.63,0.63,0.63,0.63,0.63,,,,,,,,,300000,-94.52,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
HDFCAMC,"2,485.8",-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,-19.8,3570900,-0.25,-0.25,-0.25,-0.25,-0.25,,,,,,,,,120000,-94.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
INDHOTEL,716.95,-6.15,-6.15,-6.15,-6.15,-6.15,-6.15,-6.15,-6.15,-6.15,-6.15,-6.15,16199000,0.56,0.56,0.56,0.56,0.56,,,,,,,,,514000,-94.58,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
CANBK,124.18,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,224140500,0.31,0.31,0.31,0.31,0.31,,,,,,,,,5724000,-94.59,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PREMIERENE,"1,016.7",-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,4356300,-0.33,-0.33,-0.33,-0.33,-0.33,,,,,,,,,176800,-94.62,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NATIONALUM,342.95,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,35735625,0.01,0.01,0.01,0.01,0.01,,,,,,,,,804375,-94.68,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PIDILITIND,"1,556.6",-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,4956000,0.78,0.78,0.78,0.78,0.78,,,,,,,,,100500,-94.83,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
COALINDIA,427.1,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,50161950,-0.16,-0.16,-0.16,-0.16,-0.16,,,,,,,,,812700,-94.88,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
FEDERALBNK,351.8,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,51610000,0.42,0.42,0.42,0.42,0.42,,,,,,,,,1625000,-95.02,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
AXISBANK,"1,217.6",-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,50996250,-0.02,-0.02,-0.02,-0.02,-0.02,,,,,,,,,735000,-95.11,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
LODHA,1134.65,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,9923750,-0.26,-0.26,-0.26,-0.26,-0.26,,,,,,,,,373125,-95.11,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BAJAJFINSV,"1,870.6",-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,6550200,0.09,0.09,0.09,0.09,0.09,,,,,,,,,162900,-95.16,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SBILIFE,"1,835.2",-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,4306125,0.22,0.22,0.22,0.22,0.22,,,,,,,,,135750,-95.19,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
GODREJCP,"1,062.8",4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,7233500,0.89,0.89,0.89,0.89,0.89,,,,,,,,,154500,-95.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PETRONET,269.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23408000,-0.18,-0.18,-0.18,-0.18,-0.18,,,,,,,,,532000,-95.29,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BANKINDIA,140.96,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,67730000,-0.14,-0.14,-0.14,-0.14,-0.14,,,,,,,,,1211600,-95.51,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
INDUSINDBK,986,-17.1,-17.1,-17.1,-17.1,-17.1,-17.1,-17.1,-17.1,-17.1,-17.1,-17.1,24994200,-0.45,-0.45,-0.45,-0.45,-0.45,,,,,,,,,648200,-95.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
LICHSGFIN,531.45,-3.25,-3.25,-3.25,-3.25,-3.25,-3.25,-3.25,-3.25,-3.25,-3.25,-3.25,10517000,-1.05,-1.05,-1.05,-1.05,-1.05,,,,,,,,,278000,-95.75,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ALKEM,5611,3,3,3,3,3,3,3,3,3,3,3,1167750,0.43,0.43,0.43,0.43,0.43,,,,,,,,,17375,-96.12,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
INDUSTOWER,387.7,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,64373900,0.22,0.22,0.22,0.22,0.22,,,,,,,,,807500,-96.13,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NHPC,78.99,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,86812450,0.76,0.76,0.76,0.76,0.76,,,,,,,,,3787750,-96.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
FORTIS,940.7,-3.35,-3.35,-3.35,-3.35,-3.35,-3.35,-3.35,-3.35,-3.35,-3.35,-3.35,6808375,0.27,0.27,0.27,0.27,0.27,,,,,,,,,134850,-96.24,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
OFSS,10809,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,991700,0.07,0.07,0.07,0.07,0.07,,,,,,,,,94100,-96.32,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SAIL,159.85,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,133273200,-0.56,-0.56,-0.56,-0.56,-0.56,,,,,,,,,1950500,-96.38,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SUNPHARMA,"1,954.6",4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,9483950,0.17,0.17,0.17,0.17,0.17,,,,,,,,,164850,-96.49,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
GRASIM,"3,088.5",-24.5,-24.5,-24.5,-24.5,-24.5,-24.5,-24.5,-24.5,-24.5,-24.5,-24.5,5885250,0.26,0.26,0.26,0.26,0.26,,,,,,,,,147500,-96.52,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
HINDALCO,946.3,-9.6,-9.6,-9.6,-9.6,-9.6,-9.6,-9.6,-9.6,-9.6,-9.6,-9.6,31250100,0.13,0.13,0.13,0.13,0.13,,,,,,,,,593600,-96.68,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
APOLLOHOSP,"8,855.5",-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,1137750,0.92,0.92,0.92,0.92,0.92,,,,,,,,,28625,-96.71,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
DLF,625,-10.4,-10.4,-10.4,-10.4,-10.4,-10.4,-10.4,-10.4,-10.4,-10.4,-10.4,24967900,-0.42,-0.42,-0.42,-0.42,-0.42,,,,,,,,,568100,-96.84,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NMDC,82.45,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,223310250,-0.46,-0.46,-0.46,-0.46,-0.46,,,,,,,,,4853250,-96.85,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NAM-INDIA,"1,101.4",-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,4195625,-0.12,-0.12,-0.12,-0.12,-0.12,,,,,,,,,93750,-97.09,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
JSWSTEEL,"1,238.5",-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,18894600,0.16,0.16,0.16,0.16,0.16,,,,,,,,,297675,-97.7,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BANKEX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
FOCIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
