Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
KPITTECH,550.25,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,10357100,-1.76,-1.76,-1.76,-1.76,-1.76,,,,,,,,,764150,-87.71,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
FINNIFTY,25850,-194.6,-194.6,-194.6,-194.6,-194.6,-194.6,-194.6,-194.6,-194.6,-194.6,-194.6,26940,1.35,1.35,1.35,1.35,1.35,,,,,,,,,1140,-88.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
LICI,421,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,16489200,-0.57,-0.57,-0.57,-0.57,-0.57,,,,,,,,,609000,-88.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
FORCEMOT,17608,161,161,161,161,161,161,161,161,161,161,161,157750,-4.38,-4.38,-4.38,-4.38,-4.38,,,,,,,,,18800,-88.13,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SRF,"2,663.3",36,36,36,36,36,36,36,36,36,36,36,2700600,-4.82,-4.82,-4.82,-4.82,-4.82,,,,,,,,,384400,-88.16,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NIFTY,"23,699.9",-173.7,-173.7,-173.7,-173.7,-173.7,-173.7,-173.7,-173.7,-173.7,-173.7,-173.7,11899680,0.77,0.77,0.77,0.77,0.77,,,,,,,,,618150,-88.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TCS,"2,248.2",4,4,4,4,4,4,4,4,4,4,4,25778025,1.42,1.42,1.42,1.42,1.42,,,,,,,,,1616625,-88.48,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BEL,403.85,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,68425650,1.07,1.07,1.07,1.07,1.07,,,,,,,,,2376900,-88.53,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
COFORGE,"1,449.8",9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,12526225,-0.69,-0.69,-0.69,-0.69,-0.69,,,,,,,,,791825,-88.54,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
JIOFIN,231.77,-1.28,-1.28,-1.28,-1.28,-1.28,-1.28,-1.28,-1.28,-1.28,-1.28,-1.28,99722250,-0.7,-0.7,-0.7,-0.7,-0.7,,,,,,,,,3414550,-88.59,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ULTRACEMCO,11744,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,1113800,1.26,1.26,1.26,1.26,1.26,,,,,,,,,76150,-88.65,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PFC,409.85,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,41952300,-0.16,-0.16,-0.16,-0.16,-0.16,,,,,,,,,1138800,-88.74,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MARUTI,13226,-157,-157,-157,-157,-157,-157,-157,-157,-157,-157,-157,1626100,0.36,0.36,0.36,0.36,0.36,,,,,,,,,67450,-88.77,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
WAAREEENER,"2,690.5",-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,4897900,-1.14,-1.14,-1.14,-1.14,-1.14,,,,,,,,,295750,-88.78,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
YESBANK,22.77,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,899101000,0.36,0.36,0.36,0.36,0.36,,,,,,,,,22951800,-88.82,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PIIND,"2,733.5",14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,2259425,0.04,0.04,0.04,0.04,0.04,,,,,,,,,109550,-88.92,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BLUESTARCO,"1,614.5",-24.6,-24.6,-24.6,-24.6,-24.6,-24.6,-24.6,-24.6,-24.6,-24.6,-24.6,2081625,0.23,0.23,0.23,0.23,0.23,,,,,,,,,120900,-89.11,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
