trading_date,observation_timestamp,symbol,direction,open_price,current_price,opening_straddle_premium,approaching_level,breakout_level,distance_to_breakout,approach_progress_pct
2026-08-13,2026-08-13T10:24:25.977773,GVT&D,DOWN,4429.0,4294.9,244.4808,4306.7596,4184.5192,110.38079999999992,54.85093307940762
2026-08-13,2026-08-13T10:24:25.977773,ADANIENSOL,DOWN,1618.9,1580.0,76.41208,1580.69396,1542.48792,37.51207999999997,50.90818101012312
2026-08-13,2026-08-13T10:24:25.977773,OBEROIRLTY,UP,1772.1,1805.2,65.03607,1804.618035,1837.13607,31.93606999999997,50.89483420508056
2026-08-13,2026-08-13T12:30:46.431034,APLAPOLLO,UP,2009.5,2063.1,71.1363,2045.06815,2080.6363,17.53630000000021,75.34831021574064
2026-08-13,2026-08-13T12:30:46.431034,FORCEMOT,DOWN,19498.0,18866.0,1113.3358,18941.3321,18384.6642,481.3358000000008,56.76634129613007
2026-08-13,2026-08-13T12:30:46.431034,LODHA,UP,1201.4,1234.1,60.79084,1231.79542,1262.19084,28.09084000000007,53.79099877547312
2026-08-13,2026-08-13T12:30:46.431034,TIINDIA,DOWN,2855.0,2760.0,185.2895,2762.35525,2669.7105,90.28949999999986,51.27111897867931
2026-08-13,2026-08-13T13:58:56.288968,CONCOR,UP,516.85,535.0,22.121180000000003,527.9105900000001,538.97118,3.971180000000004,82.04806434376455
2026-08-13,2026-08-13T13:58:56.288968,TATACONSUM,UP,1062.1,1088.9,37.49213,1080.846065,1099.59213,10.692129999999906,71.48166828611814
2026-08-13,2026-08-13T13:58:56.288968,NYKAA,UP,322.3,331.6,13.47214,329.03607,335.77214000000004,4.172140000000013,69.0313491397804
2026-08-13,2026-08-13T13:58:56.288968,SENSEX,UP,78185.05,78401.15,359.65123,78364.875615,78544.70123,143.55123000001186,60.08598941813469
2026-08-13,2026-08-13T13:58:56.288968,GODREJCP,UP,912.8,935.8,40.98472,933.29236,953.78472,17.98472000000004,56.11847537326107
2026-08-13,2026-08-13T13:58:56.288968,HINDUNILVR,UP,2061.9,2089.6,53.40321,2088.6016050000003,2115.30321,25.703210000000126,51.86954117552075
2026-08-14,2026-08-14T09:17:07.288828,TRENT,UP,2925.0,3005.0,119.92499999999998,2984.9625,3044.925,39.92500000000018,66.70835939128624
2026-08-14,2026-08-14T09:17:07.288828,TMPV,UP,329.0,336.9,14.9366,336.4683,343.9366,7.036600000000021,52.89021597954003
2026-08-14,2026-08-14T09:20:57.594350,SOLARINDS,DOWN,20380.0,19667.0,982.316,19888.842,19397.684,269.3159999999989,72.58356781320879
2026-08-14,2026-08-14T09:20:57.594350,MAXHEALTH,DOWN,1019.0,991.5,44.0208,996.9896,974.9792,16.52080000000001,62.470468505797264
2026-08-14,2026-08-14T09:20:57.594350,BAJAJHLDNG,DOWN,11703.0,11487.0,354.6009,11525.69955,11348.3991,138.60089999999946,60.91355098083508
2026-08-14,2026-08-14T09:20:57.594350,JUBLFOOD,UP,493.0,513.85,34.9044,510.4522,527.9044,14.054399999999989,59.73458933544201
2026-08-14,2026-08-14T09:20:57.594350,POWERINDIA,UP,35310.0,36290.0,1641.915,36130.9575,36951.915,661.9150000000009,59.68640276750015
2026-08-14,2026-08-14T09:20:57.594350,SBICARD,DOWN,646.75,633.8,25.417275,634.0413625,621.332725,12.467274999999972,50.94960022268338
2026-08-14,2026-08-14T09:22:58.103407,LICI,DOWN,414.7,409.6,10.07721,409.661395,404.62279,4.977210000000014,50.60924601154452
2026-08-14,2026-08-14T09:22:58.103407,NHPC,UP,76.49,77.91,2.807183,77.8935915,79.29718299999999,1.3871829999999932,50.584518358796046
2026-08-14,2026-08-14T09:32:24.410259,SBILIFE,DOWN,1829.9,1801.8,53.25009000000001,1803.274955,1776.64991,25.150089999999864,52.76986386314114
2026-08-14,2026-08-14T09:33:00.551590,HINDZINC,DOWN,574.3,559.7,25.15434,561.7228299999999,549.1456599999999,10.554340000000138,58.04167392187555
2026-08-14,2026-08-14T10:16:02.948403,APOLLOHOSP,UP,8622.0,8845.0,275.904,8759.952,8897.904,52.90400000000045,80.82521456738576
2026-08-14,2026-08-14T10:16:02.948403,ADANIPORTS,UP,1656.6,1688.1,59.30628,1686.2531399999998,1715.90628,27.80628000000001,53.114105285308746
2026-08-14,2026-08-14T10:16:02.948403,IDEA,UP,13.61,14.06,0.861513,14.0407565,14.471513,0.4115129999999993,52.23368654912939
2026-08-14,2026-08-14T12:03:35.760559,ASIANPAINT,DOWN,2760.1,2698.0,87.49517,2716.352415,2672.60483,25.395170000000235,70.97534641055033
2026-08-14,2026-08-14T12:03:35.760559,RECLTD,DOWN,343.75,336.4,11.240625,338.1296875,332.509375,3.890625,65.38782318598852
2026-08-14,2026-08-14T12:03:35.760559,PAGEIND,DOWN,37800.0,36690.0,1719.9,36940.05,36080.1,609.9000000000015,64.5386359672074
2026-08-14,2026-08-14T12:03:35.760559,TATAPOWER,UP,382.4,389.95,11.70144,388.25072,394.10144,4.15143999999998,64.52197336396213
2026-08-14,2026-08-14T12:03:35.760559,NBCC,DOWN,92.75,90.0,4.322150000000001,90.588925,88.42785,1.5721499999999935,63.625741818308015
2026-08-14,2026-08-14T12:03:35.760559,TECHM,DOWN,1654.3,1621.5,57.9005,1625.34975,1596.3995,25.10050000000001,56.6489063134169
2026-08-14,2026-08-14T12:03:35.760559,NTPC,DOWN,344.5,339.5,8.888100000000001,340.05595,335.6119,3.888100000000009,56.25499263059596
2026-08-14,2026-08-14T12:03:35.760559,UNITDSPR,UP,1518.7,1544.6,46.16848,1541.78424,1564.86848,20.26848000000018,56.09887958191359
2026-08-14,2026-08-14T12:03:35.760559,CAMS,DOWN,782.25,765.5,30.273075,767.1134625,751.976925,13.523074999999949,55.32969478653887
2026-08-14,2026-08-14T12:03:35.760559,SHREECEM,DOWN,25240.0,24765.0,890.972,24794.514,24349.028,415.9720000000016,53.31256201092739
2026-08-14,2026-08-14T12:03:35.760559,ADANIENT,UP,2967.1,3038.0,135.00304999999997,3034.601525,3102.10305,64.10304999999971,52.51733201583231
2026-08-17,2026-08-17T09:33:23.117520,VOLTAS,DOWN,1332.0,1285.7,54.21240000000001,1304.8938,1277.7876,7.9124000000001615,85.40481513454476
2026-08-17,2026-08-17T09:33:23.117520,SUNPHARMA,DOWN,1956.0,1923.7,41.2716,1935.3642,1914.7284,8.97160000000008,78.26204944804648
2026-08-17,2026-08-17T09:33:23.117520,LAURUSLABS,UP,1777.0,1815.1,64.3274,1809.1637,1841.3274,26.22739999999999,59.22826043023643
2026-08-17,2026-08-17T09:33:23.117520,TCS,DOWN,2374.9,2329.9,77.65923000000001,2336.070385,2297.24077,32.65923000000021,57.94546250329806
2026-08-17,2026-08-17T09:33:23.117520,BSE,DOWN,3385.5,3303.4,160.13415,3305.432925,3225.36585,78.03414999999995,51.26951371709277
2026-08-17,2026-08-17T09:33:23.117520,APLAPOLLO,UP,2077.2,2108.5,61.69284,2108.04642,2138.89284,30.39283999999998,50.7352230826141
2026-08-17,2026-08-17T09:38:11.330481,MOTILALOFS,UP,901.0,921.9,34.4182,918.2091,935.4182,13.51819999999998,60.72368688658901
2026-08-17,2026-08-17T09:38:11.330481,PAGEIND,UP,36620.0,37385.0,1329.306,37284.653,37949.306,564.3059999999969,57.54882622962658
