Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
HINDALCO,960.85,9.15,45539900.0,0.73,,,,,,,,,3154200.0,-57.86,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,960.85,941.633,999.2840000000001
ONGC,252.49,0.8,78257250.0,0.09,,,,,,,,,3597750.0,-59.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,252.49,247.4402,262.5896
POWERGRID,289.3,0.25,51431100.0,0.26,,,,,,,,,2779700.0,-68.5,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,289.3,283.514,300.872
FEDERALBNK,354.0,0.6,81375000.0,1.52,,,,,,,,,4805000.0,-47.76,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,354.0,346.92,368.16
CANBK,127.0,0.25,320544000.0,1.28,,,,,,,,,13857750.0,-46.24,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,127.0,124.46,132.08
JUBLFOOD,419.2,1.6,18497500.0,-2.41,,,,,,,,,1345000.0,-15.61,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,10,SELL,Positive Price Momentum; OI Reduction,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,419.2,410.816,435.968
UNITDSPR,1427.6,21.6,8376800.0,-0.79,,,,,,,,,1517600.0,22.35,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,1427.6,1399.0479999999998,1484.704
NATIONALUM,346.5,3.25,44816250.0,-0.38,,,,,,,,,4708125.0,12.9,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,346.5,339.57,360.36
HEROMOTOCO,5097.3,183.4,4896450.0,-1.75,,,,,,,,,1056300.0,10.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,5097.3,4995.354,5301.192
SBILIFE,1816.8,9.8,6442875.0,-0.46,,,,,,,,,504750.0,-35.35,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,1816.8,1780.464,1889.472
TRENT,2901.7,16.0,11400975.0,-2.5,,,,,,,,,1542375.0,71.12,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,25,SELL,Positive Price Momentum; OI Reduction; Volume Expansion,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,2901.7,2843.6659999999997,3017.768
OFSS,10880.0,9.0,1558400.0,-2.49,,,,,,,,,879400.0,66.3,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,25,SELL,Positive Price Momentum; OI Reduction; Volume Expansion,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,10880.0,10662.4,11315.2
CONCOR,484.5,3.65,16257500.0,-0.31,,,,,,,,,721250.0,-73.43,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,484.5,474.81,503.88
MOTHERSON,146.16,2.47,142655400.0,-0.48,,,,,,,,,10356600.0,-37.09,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,146.16,143.2368,152.0064
ABB,7634.5,98.5,2300625.0,-0.7,,,,,,,,,229000.0,-40.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,7634.5,7481.8099999999995,7939.88
VOLTAS,1314.8,5.7,7815000.0,-0.17,,,,,,,,,723750.0,-33.13,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,1314.8,1288.504,1367.392
VEDL,267.1,4.2,57723100.0,-1.61,,,,,,,,,3882400.0,-10.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,267.1,261.75800000000004,277.78400000000005
WIPRO,173.28,0.53,272445000.0,-2.18,,,,,,,,,31758000.0,15.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,0,SELL,OI Reduction,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,173.28,169.8144,180.21120000000002
PATANJALI,337.45,1.75,29465750.0,-4.06,,,,,,,,,2926150.0,-14.94,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,10,SELL,Positive Price Momentum; OI Reduction,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,337.45,330.70099999999996,350.948
PREMIERENE,1038.5,18.5,6496750.0,-1.21,,,,,,,,,484250.0,-75.68,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,1038.5,1017.73,1080.04
PGEL,580.95,4.65,11065600.0,-0.84,,,,,,,,,1169450.0,-72.13,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,580.95,569.331,604.1880000000001
JINDALSTEL,1049.2,4.0,11414375.0,-1.33,,,,,,,,,847500.0,-53.35,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,1049.2,1028.2160000000001,1091.1680000000001
DLF,648.6,3.75,38310650.0,-0.54,,,,,,,,,2169800.0,-53.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,648.6,635.628,674.5440000000001
PAYTM,1275.0,7.5,21216400.0,-0.46,,,,,,,,,1470300.0,-78.57,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,1275.0,1249.5,1326.0
DIXON,13910.0,90.0,2006650.0,-1.73,,,,,,,,,184750.0,-69.99,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,13910.0,13631.8,14466.4
TIINDIA,2919.7,14.9,1896600.0,-0.73,,,,,,,,,135200.0,-37.92,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,2919.7,2861.3059999999996,3036.488
TCS,2218.9,6.3,36006525.0,-0.42,,,,,,,,,2704500.0,-37.99,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,2218.9,2174.522,2307.656
POWERINDIA,32610.0,430.0,476650.0,-1.14,,,,,,,,,38500.0,-45.87,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,32610.0,31957.8,33914.4
MAXHEALTH,1085.3,5.7,10039575.0,-0.39,,,,,,,,,728175.0,-47.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,1085.3,1063.5939999999998,1128.712
MAZDOCK,2307.0,5.9,5024700.0,-1.86,,,,,,,,,340425.0,-51.75,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,2307.0,2260.86,2399.28
BDL,1241.8,2.3,7625350.0,-1.5,,,,,,,,,551650.0,-44.65,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,1241.8,1216.964,1291.472
NHPC,80.73,0.7,126462200.0,-1.1,,,,,,,,,45446050.0,308.69,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,15,SELL,Volume Expansion,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,80.73,79.11540000000001,83.95920000000001
WAAREEENER,2723.5,31.8,6858775.0,-5.08,,,,,,,,,872025.0,-17.47,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,10,SELL,Positive Price Momentum; OI Reduction,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,2723.5,2669.0299999999997,2832.44
IREDA,120.12,0.92,60254900.0,-5.89,,,,,,,,,8678950.0,11.06,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,0,SELL,OI Reduction,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,120.12,117.7176,124.9248
