Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
HINDPETRO,383.5,-12.4,36875250.0,2.33,,,,,,,,,7964325.0,-19.02,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
UNIONBANK,169.53,-1.25,115616400.0,-1.56,,,,,,,,,10044750.0,-20.49,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
HDFCLIFE,551.7,-0.8,39336000.0,0.79,,,,,,,,,2499200.0,-22.19,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
APOLLOHOSP,8902.0,-27.5,1966875.0,3.66,,,,,,,,,151875.0,-23.34,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
INDUSINDBK,1015.0,-53.7,33196100.0,3.1,,,,,,,,,6881000.0,-24.24,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
EICHERMOT,7705.0,70.0,3663200.0,2.52,,,,,,,,,276000.0,-24.84,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
SUZLON,52.78,-0.18,386638800.0,-2.64,,,,,,,,,45224700.0,-25.77,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
BRITANNIA,5463.5,-34.5,2059375.0,0.54,,,,,,,,,172875.0,-26.24,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
BAJAJFINSV,1888.0,11.6,9291600.0,1.82,,,,,,,,,579000.0,-26.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
MFSL,1516.6,-7.2,8364400.0,0.64,,,,,,,,,349600.0,-28.18,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ADANIGREEN,1390.6,-80.9,22842000.0,11.38,,,,,,,,,4949400.0,-28.3,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
GODFRYPHLP,2056.8,-12.0,1660175.0,-2.83,,,,,,,,,156750.0,-29.02,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
HYUNDAI,1976.8,29.8,4799300.0,0.96,,,,,,,,,427075.0,-29.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
PRESTIGE,1663.2,3.1,4664700.0,-0.81,,,,,,,,,571950.0,-29.07,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
HCLTECH,1240.4,6.0,31132400.0,0.92,,,,,,,,,1980000.0,-29.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ASIANPAINT,2682.4,-9.2,6720750.0,-0.44,,,,,,,,,403000.0,-29.7,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
MARICO,853.95,-7.1,11918400.0,-0.33,,,,,,,,,1350000.0,-29.73,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
BHARATFORG,2204.9,11.4,7766000.0,1.54,,,,,,,,,717000.0,-31.52,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
BAJAJHLDNG,10570.0,157.0,292800.0,1.32,,,,,,,,,29625.0,-31.78,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
M&M,3245.0,72.3,14546400.0,2.82,,,,,,,,,1297800.0,-33.06,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
VOLTAS,1314.8,5.7,7815000.0,-0.17,,,,,,,,,723750.0,-33.13,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
360ONE,1093.8,1.2,4619000.0,1.82,,,,,,,,,445000.0,-33.68,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
SBILIFE,1816.8,9.8,6442875.0,-0.46,,,,,,,,,504750.0,-35.35,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
MOTHERSON,146.16,2.47,142655400.0,-0.48,,,,,,,,,10356600.0,-37.09,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
TIINDIA,2919.7,14.9,1896600.0,-0.73,,,,,,,,,135200.0,-37.92,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
TCS,2218.9,6.3,36006525.0,-0.42,,,,,,,,,2704500.0,-37.99,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
