Symbol,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg%,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Price chg,Price chg (%),OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%)
GRASIM,1.67,-2.5,-0.08,-0.76,-4.13,-343.0,-0.9,0.0,0.0,-12.0,-0.11,64.0,1.14,76,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVT&D,3.42,-15.3,-0.34,-4.2,-10.56,366.0,2.61,0.04,5.41,-511.0,-6.03,-54.0,-0.86,457,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAL,2.37,18.6,0.41,0.61,2.54,255.0,0.93,0.01,1.75,-219.0,-1.16,52.0,0.48,271,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2.25,6.6,0.55,-0.82,-3.29,126.0,0.72,-0.01,-1.39,-160.0,-1.54,-219.0,-2.94,-59,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCLTECH,2.35,5.3,0.43,0.61,2.54,694.0,0.9,0.02,2.7,-142.0,-0.42,301.0,1.2,443,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCAMC,2.64,9.2,0.36,-1.58,-5.42,186.0,1.1,0.03,4.92,-798.0,-6.46,-89.0,-1.19,709,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,1.99,-5.35,-0.71,-2.63,-11.2,3760.0,1.23,0.01,2.13,877.0,0.44,938.0,0.99,61,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2.13,-1.45,-0.26,-0.58,-2.52,256.0,0.72,0.01,1.69,-435.0,-2.48,-154.0,-1.48,281,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEROMOTOCO,2.71,187.1,3.81,3.42,13.74,-590.0,-1.78,0.09,16.07,-2120.0,-9.54,710.0,5.75,2830,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,2.19,8.95,0.94,-0.47,-2.01,463.0,0.72,0.01,1.92,-1111.0,-4.44,-270.0,-2.09,841,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,2.85,-12.45,-3.14,-7.19,-19.44,409.0,2.3,0.01,1.19,-53.0,-0.6,41.0,0.55,94,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,2.24,0.0,0.0,-0.38,-1.6,-166.0,-0.29,0.0,0.0,-11.0,-0.05,61.0,0.36,72,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,3.49,2.85,0.53,0.92,2.6,72.0,0.33,0.04,7.02,-855.0,-5.64,-32.0,-0.37,823,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYUNDAI,2.51,21.3,1.09,-1.8,-6.36,153.0,0.89,0.02,3.51,-214.0,-2.78,-32.0,-0.73,182,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIBANK,1.53,-0.4,-0.03,-1.38,-7.89,3831.0,2.98,0.01,1.23,-711.0,-1.76,-260.0,-0.79,451,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2.18,-3.1,-0.2,-1.9,-7.58,68.0,0.35,0.02,3.51,-324.0,-3.01,-4.0,-0.07,320,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIPRULI,2.39,-2.95,-0.59,-1.67,-6.18,-6.0,-0.03,0.08,14.81,-1785.0,-14.2,-9.0,-0.13,1776,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,4.04,-0.22,-1.62,-3.22,-8.12,-105.0,-0.15,0.0,0.0,-52.0,-0.27,-111.0,-1.26,-59,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,3.8,-0.24,-0.3,-0.18,-0.45,547.0,1.63,-0.03,-3.49,343.0,3.87,13.0,0.17,-330,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEX,4.53,-0.1,-0.08,1.17,2.77,-208.0,-1.25,-0.03,-4.92,144.0,1.97,-120.0,-2.69,-264,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,2.17,-0.35,-0.05,-0.34,-1.45,698.0,2.9,0.03,5.0,-774.0,-9.53,-200.0,-4.12,574,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANB,2.71,5.3,0.64,-0.71,-2.45,65.0,0.41,0.0,0.0,-196.0,-1.93,-108.0,-1.44,88,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
