Symbol,CMP,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Price,Price chg,Price chg (%),OI,OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%),Price Chg (%),Total OI,Total OI Chg,Total OI Chg (%),PCR,IV,IV Chg (%),IV Range (1Yr),HV (10/20/30 Days),IVR,IVP,IV/HV10 %,IV/HV20 %,IV/HV30 %,Resistance Strike,Resistance Call OI,Resistance Call OI Chg,Resistance Distance %,Near Resistance,Support Strike,Support Put OI,Support Put OI Chg,Support Distance %,Near Support
BLUESTARCO,1678.8,3.81,-49.8,-2.88,-1.52,-5.25,57.0,0.64,0.02,3.51,-426,-5.32,-89,-1.94,337,1678.8,-49.8,-2.88,2933125.0,18525.0,0.64,3.11 Cr,374075.0,22.71,-2.88,2933125,18525,0.64,0.59,27.41,-5.25,13.03 - 50.57,40.08 / 32.00 / 33.78,38.31,32.79,-31.61,-14.34,-18.86,,,,,,,,,,
BOSCHLTD,40900.0,3.37,-320.0,-0.78,-2.64,-9.81,-67.0,-0.76,-0.01,-1.72,11,0.16,-72,-1.8,-83,40900.0,-320.0,-0.78,219400.0,-1675.0,-0.76,-6.85 Cr,13700.0,-7.12,-0.78,219400,-1675,-0.76,0.57,24.27,-9.81,10.01 - 46.12,14.32 / 17.98 / 24.69,39.49,38.06,69.48,34.98,-1.7,,,,,,,,,,
BPCL,315.6,4.33,2.9,0.93,-0.66,-2.07,-424.0,-2.02,0.05,6.67,-156,-1.45,449,5.55,605,315.6,2.9,0.93,40675125.0,-837400.0,-2.02,-26.43 Cr,3438475.0,-47.53,0.93,40675125,-837400,-2.02,0.8,31.29,-2.07,15.82 - 56.01,29.42 / 32.42 / 37.07,38.49,71.26,6.36,-3.49,-15.59,320.0,1941.0,-206.0,1.39,NO,,,,,
BRITANNIA,5420.0,2.92,95.0,1.78,0.36,1.74,-136.0,-0.76,0,0,-55,-0.98,-23,-0.47,32,5420.0,95.0,1.78,2233500.0,-17000.0,-0.76,-9.21 Cr,232125.0,125.09,1.78,2233500,-17000,-0.76,0.87,21.05,1.74,12.58 - 32.26,23.91 / 24.90 / 21.69,43.04,56.68,-11.96,-15.46,-2.95,,,,,,,,,,
BSE,3594.4,5.14,-94.1,-2.55,-2.33,-5.92,1733.0,4.24,-0.04,-7.27,4539,12.47,710,3.52,-3829,3594.4,-94.1,-2.55,8523400.0,346600.0,4.24,124.58 Cr,1864600.0,12.5,-2.55,8523400,346600,4.24,0.51,37.02,-5.92,19.55 - 61.04,31.21 / 28.10 / 35.93,42.11,39.68,18.62,31.74,3.03,,,,,,3500.0,3273.0,363.0,2.63,NO
CAMS,751.7,4.11,-2.4,-0.32,-0.99,-3.23,-17.0,-0.19,0,0,199,3.12,118,3.77,-81,751.7,-2.4,-0.32,7348275.0,-14025.0,-0.19,-1.05 Cr,1598025.0,92.16,-0.32,7348275,-14025,-0.19,0.49,29.67,-3.23,17.15 - 80.12,38.99 / 29.38 / 37.91,19.88,55.87,-23.9,0.99,-21.74,,,,,,,,,,
CANBK,125.45,5.02,-0.94,-0.74,-0.36,-0.98,125.0,0.25,0.01,1.28,-183,-1.1,41,0.32,224,125.45,-0.94,-0.74,343548000.0,843750.0,0.25,10.58 Cr,20614500.0,11.62,-0.74,343548000,843750,0.25,0.79,36.24,-0.98,15.88 - 49.71,39.86 / 32.92 / 35.99,60.18,86.23,-9.08,10.09,0.69,,,,,,125.0,1386.0,-3.0,0.36,YES
CDSL,1420.4,4.62,21.0,1.5,-1.46,-4.2,472.0,2.54,0.03,5.17,-845,-4.89,-75,-0.74,770,1420.4,21.0,1.5,9054925.0,224200.0,2.54,31.85 Cr,2337950.0,37.18,1.5,9054925,224200,2.54,0.61,33.32,-4.2,18.00 - 52.52,51.34 / 39.84 / 40.28,44.38,72.87,-35.1,-16.37,-17.28,,,,,,1400.0,1310.0,-111.0,1.44,NO
CGPOWER,904.9,5.78,-19.95,-2.16,0.03,0.07,40.0,0.16,-0.04,-6.15,983,8.59,88,1.18,-895,904.9,-19.95,-2.16,20944850.0,34000.0,0.16,3.08 Cr,2974150.0,-44.41,-2.16,20944850,34000,0.16,0.61,41.75,0.07,16.26 - 48.00,31.94 / 44.72 / 41.15,80.31,95.95,30.71,-6.64,1.46,,,,,,900.0,1013.0,74.0,0.54,NO
CHOLAFIN,1809.1,4.37,14.1,0.79,-1.78,-5.34,24.0,0.1,-0.02,-2.63,281,4.81,140,3.17,-141,1809.1,14.1,0.79,14363125.0,15000.0,0.1,2.71 Cr,702500.0,-5.39,0.79,14363125,15000,0.1,0.74,31.55,-5.34,15.00 - 65.38,42.20 / 34.87 / 45.91,32.85,73.28,-25.24,-9.52,-31.28,1840.0,956.0,81.0,1.71,NO,1800.0,738.0,107.0,0.5,NO
