Rank,Symbol,Pattern,NTIS Score,BUY Probability %,Confidence,Entry Close,Support,Resistance,PCR_x,PCR_y,Fut Buildup,Risk,Stop Loss,Target,Validation Score,Final Signal,Reason
36,HDFCAMC,Short Covering,40,74,MEDIUM,2659.5,2500.0,2600.0,0.64,0.75,SB,MEDIUM,2487.5,2600.0,40,BUY,"Good Probability, Bullish Pattern"
37,TCS,Short Covering,45,74,MEDIUM,2263.6,,2500.0,0.89,,,MEDIUM,2195.69,2500.0,40,BUY,"Good Probability, Bullish Pattern"
38,SOLARINDS,Fresh Long Buildup,45,74,MEDIUM,18483.0,,,0.72,,,MEDIUM,17928.51,,40,BUY,"Good Probability, Bullish Pattern"
39,RECLTD,Short Covering,45,74,MEDIUM,353.5,360.0,,0.68,0.68,SB,MEDIUM,358.2,,40,BUY,"Good Probability, Bullish Pattern"
40,COALINDIA,Short Covering,45,74,MEDIUM,428.45,410.0,,0.66,0.76,LB,MEDIUM,407.95,,40,BUY,"Good Probability, Bullish Pattern"
41,ABCAPITAL,Short Covering,45,74,MEDIUM,402.7,390.0,400.0,0.65,0.81,-,MEDIUM,388.05,400.0,40,BUY,"Good Probability, Bullish Pattern"
42,ASIANPAINT,Short Covering,45,74,MEDIUM,2689.4,2700.0,2800.0,0.91,0.59,LU,MEDIUM,2686.5,2800.0,40,BUY,"Good Probability, Bullish Pattern"
43,ASHOKLEY,Fresh Long Buildup,40,74,MEDIUM,155.61,,160.0,0.68,,,MEDIUM,150.94,160.0,40,BUY,"Good Probability, Bullish Pattern"
44,SBIN,Short Covering,40,76,MEDIUM,1045.0,1000.0,1050.0,0.8,0.98,SC,MEDIUM,995.0,1050.0,40,BUY,"Good Probability, Bullish Pattern"
45,DABUR,Short Covering,40,76,MEDIUM,428.5,,,0.61,,,MEDIUM,415.64,,40,BUY,"Good Probability, Bullish Pattern"
46,OIL,Fresh Long Buildup,55,77,MEDIUM,432.0,450.0,460.0,0.45,0.63,LB,MEDIUM,447.75,460.0,40,BUY,"Good Probability, Bullish Pattern"
47,ONGC,Short Covering,50,77,MEDIUM,247.12,,,0.46,,,MEDIUM,239.71,,40,BUY,"Good Probability, Bullish Pattern"
48,POLICYBZR,Fresh Long Buildup,45,77,MEDIUM,1580.9,1600.0,1600.0,0.73,0.75,LU,MEDIUM,1592.0,1600.0,40,BUY,"Good Probability, Bullish Pattern"
49,NESTLEIND,Fresh Long Buildup,45,77,MEDIUM,1428.6,1500.0,1540.0,0.67,0.53,SC,MEDIUM,1492.5,1540.0,40,BUY,"Good Probability, Bullish Pattern"
50,HAVELLS,Short Covering,45,77,MEDIUM,1190.2,,1300.0,0.69,,,MEDIUM,1154.49,1300.0,40,BUY,"Good Probability, Bullish Pattern"
51,OBEROIRLTY,Fresh Long Buildup,40,77,MEDIUM,1878.0,1840.0,1840.0,0.49,0.53,LU,MEDIUM,1830.8,1840.0,40,BUY,"Good Probability, Bullish Pattern"
52,DLF,Short Covering,55,79,MEDIUM,660.2,,660.0,0.67,,,MEDIUM,640.39,660.0,40,BUY,"Good Probability, Bullish Pattern"
53,RADICO,Fresh Long Buildup,40,74,MEDIUM,4100.6,,4500.0,0.89,,,MEDIUM,3977.58,4500.0,40,BUY,"Good Probability, Bullish Pattern"
54,AXISBANK,Short Covering,35,74,MEDIUM,1332.1,1200.0,,0.73,0.7,SB,MEDIUM,1194.0,,40,BUY,"Good Probability, Bullish Pattern"
55,TECHM,Short Covering,45,75,MEDIUM,1574.7,,,0.91,,,MEDIUM,1527.46,,40,BUY,"Good Probability, Bullish Pattern"
56,KFINTECH,Short Covering,50,76,MEDIUM,889.55,900.0,,0.67,0.57,SB,MEDIUM,895.5,,40,BUY,"Good Probability, Bullish Pattern"
57,M&M,Short Covering,50,76,MEDIUM,3179.2,,3300.0,0.68,,,MEDIUM,3083.82,3300.0,40,BUY,"Good Probability, Bullish Pattern"
58,PERSISTENT,Short Covering,50,76,MEDIUM,5164.5,5500.0,,1.01,0.61,LB,MEDIUM,5472.5,,40,BUY,"Good Probability, Bullish Pattern"
59,RELIANCE,Short Covering,45,76,MEDIUM,1327.9,1300.0,1300.0,0.6,0.85,SC,MEDIUM,1293.5,1300.0,40,BUY,"Good Probability, Bullish Pattern"
60,BPCL,Short Covering,40,71,MEDIUM,315.6,,320.0,0.8,,,MEDIUM,306.13,320.0,40,BUY,"Good Probability, Bullish Pattern"
61,LT,Short Covering,40,71,MEDIUM,3823.1,,4000.0,0.42,,,MEDIUM,3708.41,4000.0,40,BUY,"Good Probability, Bullish Pattern"
62,MOTHERSON,Short Covering,40,71,MEDIUM,144.63,,,0.64,,,MEDIUM,140.29,,40,BUY,"Good Probability, Bullish Pattern"
63,360ONE,Short Covering,45,72,MEDIUM,1116.7,,,0.89,,,MEDIUM,1083.2,,40,BUY,"Good Probability, Bullish Pattern"
64,MPHASIS,Short Covering,25,72,MEDIUM,2393.7,2300.0,2400.0,0.64,0.64,LU,MEDIUM,2288.5,2400.0,40,BUY,"Good Probability, Bullish Pattern"
65,ADANIPORTS,Short Covering,40,71,MEDIUM,1839.8,1700.0,,0.63,0.51,SB,MEDIUM,1691.5,,40,BUY,"Good Probability, Bullish Pattern"
66,ADANIENT,Short Covering,45,71,MEDIUM,3166.6,3000.0,,0.61,0.83,SC,MEDIUM,2985.0,,40,BUY,"Good Probability, Bullish Pattern"
67,FINNIFTY,Short Covering,45,74,MEDIUM,26923.1,26200.0,26500.0,0.9,0.84,LB,MEDIUM,26069.0,26500.0,40,BUY,"Good Probability, Bullish Pattern"
68,BAJFINANCE,Short Covering,45,71,MEDIUM,1056.1,,,0.89,,,MEDIUM,1024.42,,40,BUY,"Good Probability, Bullish Pattern"
69,INDIANB,Short Covering,45,71,MEDIUM,832.7,,,0.67,,,MEDIUM,807.72,,40,BUY,"Good Probability, Bullish Pattern"
70,SENSEX,Short Covering,45,71,MEDIUM,78129.05,77900.0,78000.0,1.22,1.64,SC,MEDIUM,77510.5,78000.0,40,BUY,"Good Probability, Bullish Pattern"
71,WAAREEENER,Short Covering,45,71,MEDIUM,2838.7,2600.0,,0.47,0.56,SB,MEDIUM,2587.0,,40,BUY,"Good Probability, Bullish Pattern"
72,IRFC,Short Covering,45,71,MEDIUM,88.54,90.0,,0.57,0.64,SB,MEDIUM,89.55,,40,BUY,"Good Probability, Bullish Pattern"
73,KPITTECH,Short Covering,45,71,MEDIUM,555.6,600.0,,0.45,0.59,SB,MEDIUM,597.0,,40,BUY,"Good Probability, Bullish Pattern"
74,LICHSGFIN,Short Covering,45,71,MEDIUM,550.9,,,0.62,,,MEDIUM,534.37,,40,BUY,"Good Probability, Bullish Pattern"
75,ITC,Short Covering,45,71,MEDIUM,281.45,280.0,290.0,0.66,0.72,SB,MEDIUM,278.6,290.0,40,BUY,"Good Probability, Bullish Pattern"
76,KALYANKJIL,Short Covering,40,71,MEDIUM,573.75,,,1.59,,,MEDIUM,556.54,,40,BUY,"Good Probability, Bullish Pattern"
77,SBICARD,Short Covering,40,71,MEDIUM,654.35,,,0.5,,,MEDIUM,634.72,,40,BUY,"Good Probability, Bullish Pattern"
78,TITAN,Short Covering,40,71,MEDIUM,4636.3,,5000.0,0.84,,,MEDIUM,4497.21,5000.0,40,BUY,"Good Probability, Bullish Pattern"
79,GODREJCP,Short Covering,40,71,MEDIUM,1072.6,1060.0,1100.0,0.64,0.65,SB,MEDIUM,1054.7,1100.0,40,BUY,"Good Probability, Bullish Pattern"
80,ETERNAL,Short Covering,40,71,MEDIUM,286.95,,,0.6,,,MEDIUM,278.34,,40,BUY,"Good Probability, Bullish Pattern"
81,HCLTECH,Short Covering,65,82,HIGH,1202.7,,,0.59,,,MEDIUM,1166.62,,40,BUY,"Good Probability, Bullish Pattern"
82,LTM,Fresh Long Buildup,60,82,HIGH,4092.0,,4500.0,0.69,,,MEDIUM,3969.24,4500.0,40,BUY,"Good Probability, Bullish Pattern"
83,CDSL,Fresh Long Buildup,55,82,HIGH,1420.4,,,0.61,,,MEDIUM,1377.79,,40,BUY,"Good Probability, Bullish Pattern"
84,HINDUNILVR,Short Covering,45,71,MEDIUM,2150.2,2100.0,,0.71,0.57,LU,MEDIUM,2089.5,,40,BUY,"Good Probability, Bullish Pattern"
85,POWERGRID,Short Covering,50,81,HIGH,283.7,,290.0,0.51,,,MEDIUM,275.19,290.0,40,BUY,"Good Probability, Bullish Pattern"
86,TATASTEEL,Short Covering,50,81,HIGH,185.84,185.0,,0.55,0.81,LU,MEDIUM,184.07,,40,BUY,"Good Probability, Bullish Pattern"
87,ICICIBANK,Momentum Long Buildup,45,81,HIGH,1449.1,1400.0,1450.0,0.92,0.67,LU,MEDIUM,1393.0,1450.0,40,BUY,"Good Probability, Bullish Pattern"
88,JIOFIN,Short Covering,65,82,HIGH,243.11,,250.0,0.54,,,MEDIUM,235.82,250.0,40,BUY,"Good Probability, Bullish Pattern"
89,ABB,Long Unwinding,-10,29,VERY LOW,7540.0,,,0.84,,,MEDIUM,7313.8,,20,WAIT,Bullish Pattern
90,PETRONET,Long Unwinding,10,36,VERY LOW,274.1,280.0,280.0,0.83,1.22,LB,MEDIUM,278.6,280.0,20,WAIT,Bullish Pattern
91,INDUSTOWER,Long Unwinding,10,36,VERY LOW,404.5,,,0.74,,,MEDIUM,392.37,,20,WAIT,Bullish Pattern
92,PAGEIND,Long Unwinding,-5,31,VERY LOW,39870.0,40000.0,42000.0,0.39,0.58,LB,MEDIUM,39800.0,42000.0,20,WAIT,Bullish Pattern
93,FORCEMOT,Long Unwinding,10,34,VERY LOW,18271.0,,18000.0,0.56,,,MEDIUM,17722.87,18000.0,20,WAIT,Bullish Pattern
94,PATANJALI,Long Unwinding,-15,34,VERY LOW,337.5,350.0,,0.8,0.8,SB,MEDIUM,348.25,,20,WAIT,Bullish Pattern
95,BHEL,Long Unwinding,-10,34,VERY LOW,423.0,400.0,410.0,0.67,0.57,LU,MEDIUM,398.0,410.0,20,WAIT,Bullish Pattern
96,ULTRACEMCO,Long Unwinding,30,36,VERY LOW,11730.0,,11960.0,0.59,,,MEDIUM,11378.1,11960.0,20,WAIT,Bullish Pattern
97,KAYNES,Long Unwinding,5,34,VERY LOW,3372.5,,3600.0,0.56,,,MEDIUM,3271.32,3600.0,20,WAIT,Bullish Pattern
98,HYUNDAI,Long Unwinding,10,34,VERY LOW,1980.4,2000.0,2000.0,0.55,0.9,LB,MEDIUM,1990.0,2000.0,20,WAIT,Bullish Pattern
99,UPL,Long Unwinding,10,34,VERY LOW,616.9,600.0,600.0,0.71,0.86,SB,MEDIUM,597.0,600.0,20,WAIT,Bullish Pattern
100,INOXWIND,Long Unwinding,5,36,VERY LOW,78.36,,,0.45,,,MEDIUM,76.01,,20,WAIT,Bullish Pattern
101,NAUKRI,Long Unwinding,5,36,VERY LOW,1183.7,,,0.79,,,MEDIUM,1148.19,,20,WAIT,Bullish Pattern
102,IEX,Long Unwinding,5,36,VERY LOW,122.86,130.0,,0.72,0.77,SB,MEDIUM,129.35,,20,WAIT,Bullish Pattern
103,PNBHOUSING,Long Unwinding,5,36,VERY LOW,1099.7,1000.0,,0.48,0.83,LU,MEDIUM,995.0,,20,WAIT,Bullish Pattern
104,ZYDUSLIFE,Long Unwinding,5,36,VERY LOW,1142.8,1100.0,,0.59,0.74,SB,MEDIUM,1094.5,,20,WAIT,Bullish Pattern
105,SIEMENS,Long Unwinding,5,36,VERY LOW,3645.0,,,0.48,,,MEDIUM,3535.65,,20,WAIT,Bullish Pattern
106,BANKINDIA,Long Unwinding,5,36,VERY LOW,143.66,135.0,140.0,0.79,0.83,LU,MEDIUM,134.32,140.0,20,WAIT,Bullish Pattern
107,TORNTPHARM,Long Unwinding,0,36,VERY LOW,4754.8,4900.0,5000.0,0.72,0.68,LU,MEDIUM,4875.5,5000.0,20,WAIT,Bullish Pattern
108,HINDZINC,Long Unwinding,5,36,VERY LOW,518.15,,550.0,0.48,,,MEDIUM,502.61,550.0,20,WAIT,Bullish Pattern
109,BIOCON,Long Unwinding,5,36,VERY LOW,437.55,,,0.86,,,MEDIUM,424.42,,20,WAIT,Bullish Pattern
110,BOSCHLTD,Long Unwinding,5,36,VERY LOW,40900.0,,42000.0,0.57,,,MEDIUM,39673.0,42000.0,20,WAIT,Bullish Pattern
111,GAIL,Long Unwinding,10,36,VERY LOW,171.26,,180.0,0.6,,,MEDIUM,166.12,180.0,20,WAIT,Bullish Pattern
112,CONCOR,Long Unwinding,10,36,VERY LOW,487.85,,,0.79,,,MEDIUM,473.21,,20,WAIT,Bullish Pattern
113,TRENT,Long Unwinding,10,36,VERY LOW,2850.6,,,0.52,,,MEDIUM,2765.08,,20,WAIT,Bullish Pattern
114,DMART,Long Unwinding,10,36,VERY LOW,3944.6,3800.0,4000.0,0.33,0.66,SC,MEDIUM,3781.0,4000.0,20,WAIT,Bullish Pattern
115,PHOENIXLTD,Long Unwinding,10,36,VERY LOW,2079.1,1900.0,,0.51,0.64,LU,MEDIUM,1890.5,,20,WAIT,Bullish Pattern
116,PAYTM,Long Unwinding,-5,36,VERY LOW,1350.9,,1300.0,0.54,,,MEDIUM,1310.37,1300.0,20,WAIT,Bullish Pattern
117,UNIONBANK,Long Unwinding,-5,36,VERY LOW,168.64,,,0.58,,,MEDIUM,163.58,,20,WAIT,Bullish Pattern
118,BDL,Long Unwinding,-5,36,VERY LOW,1253.2,1200.0,,0.42,0.87,SB,MEDIUM,1194.0,,20,WAIT,Bullish Pattern
119,HDFCLIFE,Long Unwinding,-5,36,VERY LOW,563.75,,,0.61,,,MEDIUM,546.84,,20,WAIT,Bullish Pattern
120,HDFCBANK,Short Covering,25,69,MEDIUM,819.9,750.0,,0.55,0.55,SC,MEDIUM,746.25,,20,WAIT,Bullish Pattern
121,PNB,Short Covering,35,69,MEDIUM,106.02,110.0,,0.73,0.86,SC,MEDIUM,109.45,,20,WAIT,Bullish Pattern
122,SHRIRAMFIN,Short Covering,35,69,MEDIUM,1035.7,1020.0,1040.0,0.67,0.5,SB,MEDIUM,1014.9,1040.0,20,WAIT,Bullish Pattern
123,PRESTIGE,Short Covering,40,69,MEDIUM,1691.0,1600.0,,0.61,0.78,SB,MEDIUM,1592.0,,20,WAIT,Bullish Pattern
124,YESBANK,Long Unwinding,0,41,VERY LOW,23.64,23.0,,0.41,0.63,SB,MEDIUM,22.89,,20,WAIT,Bullish Pattern
125,NBCC,Long Unwinding,25,44,VERY LOW,97.24,,,0.46,,,MEDIUM,94.32,,20,WAIT,Bullish Pattern
126,ALKEM,Long Unwinding,-5,39,VERY LOW,5565.0,5800.0,6000.0,0.34,0.29,LB,MEDIUM,5771.0,6000.0,20,WAIT,Bullish Pattern
127,APLAPOLLO,Long Unwinding,-15,39,VERY LOW,1797.1,1840.0,,0.9,0.93,SC,MEDIUM,1830.8,,20,WAIT,Bullish Pattern
128,BANDHANBNK,Long Unwinding,-5,36,VERY LOW,213.27,170.0,,0.67,0.51,SB,MEDIUM,169.15,,20,WAIT,Bullish Pattern
129,SRF,Long Unwinding,-5,36,VERY LOW,2869.8,2700.0,,0.75,0.46,SB,MEDIUM,2686.5,,20,WAIT,Bullish Pattern
130,DIXON,Long Unwinding,0,36,VERY LOW,14229.0,,14500.0,0.86,,,MEDIUM,13802.13,14500.0,20,WAIT,Bullish Pattern
131,TIINDIA,Long Unwinding,0,36,VERY LOW,2884.8,2700.0,,0.5,0.83,SB,MEDIUM,2686.5,,20,WAIT,Bullish Pattern
132,CIPLA,Long Unwinding,0,39,VERY LOW,1422.0,,1500.0,0.58,,,MEDIUM,1379.34,1500.0,20,WAIT,Bullish Pattern
133,APOLLOHOSP,Long Unwinding,15,39,VERY LOW,8838.5,,,0.82,,,MEDIUM,8573.34,,20,WAIT,Bullish Pattern
134,CAMS,Long Unwinding,15,39,VERY LOW,751.7,800.0,,0.49,0.66,LB,MEDIUM,796.0,,20,WAIT,Bullish Pattern
135,IDEA,Long Unwinding,10,39,VERY LOW,13.78,13.0,,0.44,0.61,LU,MEDIUM,12.94,,20,WAIT,Bullish Pattern
136,NUVAMA,Short Covering,40,69,MEDIUM,1862.3,,,0.64,,,MEDIUM,1806.43,,20,WAIT,Bullish Pattern
137,TVSMOTOR,Short Covering,25,66,MEDIUM,3619.7,,4200.0,0.75,,,MEDIUM,3511.11,4200.0,20,WAIT,Bullish Pattern
138,BAJAJ-AUTO,Short Covering,25,66,MEDIUM,10485.5,,11500.0,0.76,,,MEDIUM,10170.93,11500.0,20,WAIT,Bullish Pattern
139,SWIGGY,Short Covering,30,66,MEDIUM,276.29,,,0.67,,,MEDIUM,268.0,,20,WAIT,Bullish Pattern
140,FOCIT,Short Covering,30,66,MEDIUM,35142.0,,,1.89,,,MEDIUM,34087.74,,20,WAIT,Bullish Pattern
141,UNOMINDA,Short Covering,30,66,MEDIUM,1156.4,,1200.0,0.53,,,MEDIUM,1121.71,1200.0,20,WAIT,Bullish Pattern
142,SUNPHARMA,Long Unwinding,15,44,VERY LOW,1930.8,,2000.0,0.51,,,MEDIUM,1872.88,2000.0,20,WAIT,Bullish Pattern
143,TMPV,Short Covering,35,64,LOW,336.8,,,0.43,,,MEDIUM,326.7,,20,WAIT,Bullish Pattern
144,VEDL,Long Unwinding,-20,39,VERY LOW,253.0,260.0,270.0,0.45,0.55,LB,MEDIUM,258.7,270.0,20,WAIT,Bullish Pattern
145,LICI,Long Unwinding,15,41,VERY LOW,432.9,,430.0,0.67,,,MEDIUM,419.91,430.0,20,WAIT,Bullish Pattern
146,RVNL,Long Unwinding,10,36,VERY LOW,226.46,220.0,230.0,0.6,0.8,SB,MEDIUM,218.9,230.0,20,WAIT,Bullish Pattern
147,NYKAA,Long Unwinding,10,36,VERY LOW,324.1,,340.0,1.13,,,MEDIUM,314.38,340.0,20,WAIT,Bullish Pattern
148,TATAELXSI,Long Unwinding,25,36,VERY LOW,3501.0,3600.0,,0.46,0.59,LU,MEDIUM,3582.0,,20,WAIT,Bullish Pattern
149,INDIGO,Long Unwinding,15,36,VERY LOW,5249.0,,5300.0,0.76,,,MEDIUM,5091.53,5300.0,20,WAIT,Bullish Pattern
150,MAZDOCK,Long Unwinding,15,36,VERY LOW,2341.4,2300.0,,0.57,0.72,LB,MEDIUM,2288.5,,20,WAIT,Bullish Pattern
151,PGEL,Long Unwinding,10,36,VERY LOW,616.85,,620.0,0.97,,,MEDIUM,598.34,620.0,20,WAIT,Bullish Pattern
152,NIFTYNXT50,Long Unwinding,5,36,VERY LOW,71882.6,72500.0,72500.0,0.06,2.31,LB,MEDIUM,72137.5,72500.0,20,WAIT,Bullish Pattern
153,NTPC,Long Unwinding,5,36,VERY LOW,341.8,,355.0,0.32,,,MEDIUM,331.55,355.0,20,WAIT,Bullish Pattern
154,VBL,Long Unwinding,0,36,VERY LOW,463.3,,,0.43,,,MEDIUM,449.4,,20,WAIT,Bullish Pattern
155,TATAPOWER,Long Unwinding,0,36,VERY LOW,377.55,,,0.88,,,MEDIUM,366.22,,20,WAIT,Bullish Pattern
156,BANKBARODA,Long Unwinding,0,39,VERY LOW,247.4,,250.0,0.72,,,MEDIUM,239.98,250.0,20,WAIT,Bullish Pattern
157,WIPRO,Long Unwinding,10,39,VERY LOW,173.98,,,0.62,,,MEDIUM,168.76,,20,WAIT,Bullish Pattern
158,DRREDDY,Long Unwinding,-5,39,VERY LOW,1215.2,,,0.44,,,MEDIUM,1178.74,,20,WAIT,Bullish Pattern
159,LAURUSLABS,Long Unwinding,-5,39,VERY LOW,1531.0,,1800.0,0.69,,,MEDIUM,1485.07,1800.0,20,WAIT,Bullish Pattern
160,TATACONSUM,Long Unwinding,15,41,VERY LOW,1089.5,,,0.71,,,MEDIUM,1056.82,,20,WAIT,Bullish Pattern
161,SAIL,Long Unwinding,15,41,VERY LOW,163.08,,170.0,0.54,,,MEDIUM,158.19,170.0,20,WAIT,Bullish Pattern
162,ADANIGREEN,Fresh Short Buildup,-15,31,VERY LOW,1517.4,1400.0,1400.0,0.66,0.59,SB,MEDIUM,1393.0,1400.0,0,WAIT,
163,GMRAIRPORT,Fresh Short Buildup,-10,31,VERY LOW,110.84,,,0.55,,,MEDIUM,107.51,,0,WAIT,
164,FORTIS,Fresh Short Buildup,0,36,VERY LOW,952.5,,,0.48,,,MEDIUM,923.92,,0,WAIT,
165,MANAPPURAM,Fresh Short Buildup,5,36,VERY LOW,326.45,360.0,360.0,0.62,0.63,LU,MEDIUM,358.2,360.0,0,WAIT,
166,MUTHOOTFIN,Fresh Short Buildup,5,36,VERY LOW,2988.7,,3100.0,0.58,,,MEDIUM,2899.04,3100.0,0,WAIT,
167,AUBANK,Fresh Short Buildup,10,36,VERY LOW,1029.8,,,0.68,,,MEDIUM,998.91,,0,WAIT,
168,LTF,Fresh Short Buildup,0,31,VERY LOW,308.35,300.0,310.0,0.48,0.79,SB,MEDIUM,298.5,310.0,0,WAIT,
169,LUPIN,Fresh Short Buildup,-5,31,VERY LOW,2448.9,2400.0,2500.0,0.71,0.68,SB,MEDIUM,2388.0,2500.0,0,WAIT,
170,HINDALCO,Fresh Short Buildup,-5,31,VERY LOW,945.35,960.0,1000.0,0.49,0.78,SC,MEDIUM,955.2,1000.0,0,WAIT,
171,PREMIERENE,Fresh Short Buildup,-5,31,VERY LOW,1083.1,980.0,1000.0,0.63,0.71,SB,MEDIUM,975.1,1000.0,0,WAIT,
172,JINDALSTEL,Fresh Short Buildup,-15,31,VERY LOW,1025.9,,,0.67,,,MEDIUM,995.12,,0,WAIT,
173,UNITDSPR,Fresh Short Buildup,-15,31,VERY LOW,1377.0,1500.0,1500.0,0.9,0.93,SC,MEDIUM,1492.5,1500.0,0,WAIT,
174,COFORGE,Fresh Short Buildup,-15,31,VERY LOW,1506.7,,,0.5,,,MEDIUM,1461.5,,0,WAIT,
